Sample	FRoH	Length	nRoH
BB10	0.074125	105512268	85
BB13	0.185495	264039079	180
DL23523	0.167964	239085319	175
DL2524	0.154905	220496272	156
VT27	0.295163	420145202	310
VT29	0.304926	434041229	342
WS04	0.147290	209657664	150
WS05	0.205904	293090166	186
NF24	0.299655	426538814	312
NF30	0.281691	400968872	281
SH2514	0.078141	111228621	89
SH2515	0.171937	244740102	161
GC30	0.003167	4508272	6
CA14	0.002361	3361150	4
CE29	0.021344	30381309	24
FU14	0.006343	9028150	8
MM27	0.004206	5987543	6
VG21	0.026154	37227931	34
