Sample	NumberVariableSites	ObservedHomozygous	MissingSites	GenotypedSites
BU04	7953319	6943175	0	778409143
BU1031	7953319	6889214	0	778409143
CW2212	7953319	6552794	0	778409143
CW2214	7953319	5639556	0	778409143
DN26	7953319	6224326	0	778409143
FC11	7953319	6744922	0	778409143
LI04	7953319	6599519	0	778409143
MI21	7953319	6117477	0	778409143
PZ29	7953319	6068438	0	778409143
VR14	7953319	6407010	0	778409143
WB13	7953319	5685550	0	778409143
WB20	7953319	6206848	0	778409143
WE2430	7953319	6352874	0	778409143
WE2431	7953319	6229622	0	778409143
