Sample	NumberVariableSites	ObservedHomozygous	MissingSites	GenotypedSites
BB10	10116780	7879874	0	587596657
BB13	10116780	8184655	0	587596657
CA14	10116780	7496592	0	587596657
CE29	10116780	7781473	0	587596657
DL23523	10116780	8108066	0	587596657
DL2524	10116780	8042096	0	587596657
FU14	10116780	7652063	0	587596657
GC30	10116780	7577029	0	587596657
MM27	10116780	7635286	0	587596657
NF24	10116780	8615638	0	587596657
NF30	10116780	8494078	0	587596657
SH2514	10116780	7968612	0	587596657
SH2515	10116780	8218330	0	587596657
VG21	10116780	7879052	0	587596657
VT27	10116780	8457200	0	587596657
VT29	10116780	8464608	0	587596657
WS04	10116780	8138937	0	587596657
WS05	10116780	8289623	0	587596657
