Sample	NumberVariableSites	ObservedHomozygous	MissingSites	GenotypedSites
BU04	7592751	6583694	0	738122741
BU1031	7667571	6605531	0	751939818
CW2212	7637449	6237730	0	746164898
WB13	7795262	5527818	0	763854776
WB20	7516496	5770830	0	733770903
WE2430	7323658	5724521	0	716633327
WE2431	7554871	5832041	0	739564862
DN26	7631217	5902933	0	742675191
VR14	7710806	6164977	0	754413179
MI21	7922461	6086670	0	775600421
PZ29	7894371	6009593	0	772776890
LI04	7930368	6576597	0	775846409
FC11	7812666	6604540	0	763827374
