Sample	NumberVariableSites	ObservedHomozygous	MissingSites	GenotypedSites
BB10	9861529	7625094	0	570785045
BB13	9341863	7411000	0	537593578
DL23523	9383768	7376098	0	551765687
DL2524	9463687	7389963	0	543642917
VT27	8825168	7167026	0	517276391
VT29	9086311	7435468	0	525738720
WS04	9365318	7388346	0	538124319
WS05	8912028	7086406	0	515232980
NF24	8835260	7335884	0	515800675
NF30	8834539	7214233	0	512208143
SH2514	9863148	7715387	0	572479851
SH2515	9174026	7276764	0	527089071
GC30	10116780	7577029	0	587596657
CA14	10116780	7496592	0	587596657
CE29	10045401	7710175	0	582450678
FU14	10096344	7631711	0	586078204
MM27	10116780	7635286	0	587596657
VG21	10059942	7822280	0	585373835
