Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	57.494048	41.970238	2390.869048	1747.726190	5090.005952	3621.458333	252469.107143	184766.404762	108208.500000	79716.928571
101	58.065476	42.375000	2360.880952	1724.226190	5005.827381	3566.315476	250571.250000	183314.476191	107653.672619	79243.327381
102	56.797619	41.250000	2349.345238	1716.880952	4999.345238	3543.642857	250205.154762	182991.619048	107625.648809	79244.672619
103	57.934524	42.386905	2370.708333	1732.779762	5045.636905	3585.779762	250445.630953	183100.559524	107604.684524	79238.077381
104	58.065476	42.458333	2393.571429	1749.952381	5098.125000	3626.529762	252894.636905	185048.089286	108362.511905	79825.619048
105	56.619048	41.642857	2353.517857	1722.339286	4999.684524	3572.672619	250146.797619	183330.083334	107375.934524	79218.267857
106	57.529762	42.017857	2378.696429	1739.315476	5066.226190	3605.952381	250288.184524	183207.386905	106792.011905	78686.785714
107	57.041667	41.113095	2357.178571	1724.166667	5008.172619	3564.184524	250573.601191	183256.267857	107709.238095	79321.178571
108	57.815476	42.208333	2393.476190	1749.904762	5099.386905	3628.636905	252927.107143	185089.690476	108387.797619	79845.666667
109	57.095238	42.142857	2343.839286	1719.791667	5003.642857	3561.154762	251533.880953	184078.726191	108038.291667	79590.351190
10	58.065476	42.458333	2390.785714	1745.797619	5087.279762	3619.958333	252519.232143	184824.648810	108262.351190	79764.077381
11	57.202381	42.226190	2365.029762	1730.827381	5022.696429	3583.720238	250471.422619	183415.244048	107572.827381	79258.458333
12	57.994048	42.458333	2361.988095	1732.047619	5043.291667	3596.255952	250059.744048	183165.315476	107130.845238	78999.416667
13	55.392857	41.738095	2360.833333	1727.952381	5022.672619	3575.898810	249826.482143	182851.089286	107333.750000	79112.750000
14	57.946429	42.315476	2381.535714	1740.476190	5070.041667	3609.482143	249938.005953	182979.970238	107057.904762	78896.880952
15	56.410714	41.958333	2362.511905	1729.416667	5033.761905	3589.809524	249603.000000	182863.321429	106902.940476	78826.011905
16	57.136905	42.041667	2375.458333	1734.541667	5048.982143	3595.029762	249933.047619	183000.345238	107291.333333	79077.964286
17	58.065476	42.458333	2384.398810	1742.982143	5074.363095	3613.172619	249981.898810	182946.708334	106856.922619	78677.470238
18	56.702381	42.083333	2363.119048	1725.988095	5022.392857	3570.380952	250777.119048	183381.690476	107551.208333	79176.958333
19	57.529762	41.339286	2301.571429	1678.107143	4998.702381	3547.916667	251932.083334	184192.678572	108118.785714	79587.297619
1	58.065476	42.458333	2391.017857	1747.291667	5089.940476	3622.702381	252466.261905	184812.797619	108177.077381	79720.041667
20	57.375000	42.291667	2370.696429	1734.577381	5059.726190	3598.857143	250670.595238	183499.011905	107328.339286	79084.767857
21	57.154762	41.964286	2384.565476	1745.446429	5074.041667	3611.410714	250196.148810	183092.458334	106673.166667	78608.107143
22	57.803571	42.398810	2373.958333	1737.089286	5058.053571	3601.779762	249798.125000	183047.232143	106756.244048	78749.934524
23	57.684524	41.767857	2382.130952	1741.107143	5074.196429	3610.779762	249710.821429	182871.000000	106420.476190	78527.154762
24	57.375000	42.148810	2363.958333	1730.982143	5051.238095	3594.369048	250025.190476	183116.357143	107272.279762	79074.291667
25	57.273810	42.190476	2361.690476	1732.452381	5046.821429	3595.178571	249822.053572	183042.351191	106983.648809	78899.827381
26	57.738095	42.404762	2378.726190	1740.702381	5061.345238	3602.583333	250062.880953	183076.202381	107317.273809	79116.119048
27	57.267857	41.827381	2376.172619	1738.910714	5048.666667	3595.380952	249981.047619	183160.059524	107287.023809	79126.797619
28	57.380952	42.214286	2379.601190	1739.446429	5069.053571	3604.875000	251731.023810	184278.416667	107899.041667	79502.017857
29	57.994048	42.458333	2372.142857	1733.011905	5045.511905	3586.904762	251267.636905	183760.482143	107922.535714	79447.142857
2	57.636905	42.351190	2392.065476	1749.232143	5089.196429	3621.017857	252313.738095	184675.761905	108057.577381	79614.684524
30	57.839286	41.744048	2368.142857	1731.833333	5029.005952	3584.660714	250209.166667	183131.666667	107482.297619	79163.714286
31	57.946429	42.315476	2369.732143	1729.303571	5064.285714	3599.857143	250029.904762	182596.130953	106881.339286	78586.839286
32	57.315476	42.065476	2378.446429	1736.148810	5064.029762	3600.005952	249995.142857	182746.119048	106571.303571	78408.970238
33	58.065476	42.458333	2375.529762	1735.172619	5061.470238	3594.732143	250026.815476	182672.494048	107081.976190	78754.083333
34	57.738095	42.404762	2366.029762	1731.613095	5053.571429	3595.107143	249950.232143	182838.958334	106922.434524	78664.041667
35	57.083333	42.380952	2378.886905	1743.208333	5069.916667	3611.309524	249730.136905	182967.803572	106214.583333	78414.928571
36	58.065476	42.458333	2393.244048	1749.946429	5096.315476	3626.613095	251533.928572	184030.964286	107191.910714	78942.267857
37	57.863095	41.672619	2364.005952	1726.791667	5040.059524	3584.666667	250661.589286	183357.005953	107655.517857	79255.077381
38	57.785714	41.761905	2380.071429	1739.285714	5066.047619	3604.940476	250064.130953	183027.535714	107114.511905	78931.892857
39	57.958333	42.244048	2372.625000	1737.113095	5057.625000	3599.910714	249713.357143	182969.773810	107045.809524	78925.285714
3	58.065476	42.458333	2390.369048	1747.654762	5088.845238	3623.702381	252317.809524	184666.654762	108096.136905	79651.291667
40	57.470238	42.255952	2379.761905	1741.761905	5068.714286	3604.619048	249863.654762	182899.928572	107228.464286	78993.869048
41	56.416667	40.738095	2364.583333	1733.083333	5031.851190	3588.827381	249516.220238	182837.244048	107126.779762	79052.136905
42	56.875000	42.089286	2376.613095	1735.958333	5050.321429	3598.500000	249808.482143	183016.767857	106826.446429	78835.589286
43	57.113095	42.184524	2371.410714	1733.696429	5053.839286	3593.494048	250336.922619	183259.755953	107177.291667	79006.517857
44	58.065476	42.458333	2393.351190	1750.363095	5094.672619	3625.886905	252863.875000	185047.279762	108358.577381	79822.982143
45	57.511905	41.773810	2373.827381	1732.375000	5050.089286	3589.648810	250565.000000	183214.964286	107355.023809	79002.761905
46	57.779762	42.458333	2368.964286	1732.916667	5058.220238	3592.886905	249822.928572	182687.071429	106776.446429	78563.922619
47	57.285714	42.178571	2376.380952	1735.678571	5064.559524	3597.404762	249927.107143	182740.642857	107178.994048	78884.565476
48	57.779762	41.351190	2369.684524	1731.934524	5037.690476	3586.607143	249674.119048	182817.428572	107255.476190	79053.880952
49	57.613095	41.529762	2363.767857	1731.351190	5045.339286	3584.267857	249808.255953	182790.136905	107218.071429	79047.678571
4	57.767857	42.398810	2387.226190	1746.940476	5080.380952	3616.297619	252198.017857	184568.648810	108096.648809	79638.125000
50	58.065476	42.458333	2383.839286	1740.767857	5063.047619	3607.809524	250157.791667	183033.577381	106944.125000	78758.696429
51	57.726190	42.119048	2374.648810	1736.636905	5048.785714	3589.404762	250863.839286	183545.494048	107608.732143	79252.315476
52	58.065476	42.458333	2394.464286	1750.773810	5099.625000	3628.851190	252954.815476	185108.196429	108389.940476	79846.880952
53	57.916667	41.940476	2375.398810	1739.184524	5057.113095	3595.315476	250972.785714	183558.261905	107481.375000	79101.875000
54	57.708333	42.196429	2376.922619	1735.791667	5054.773810	3595.154762	250272.035714	182911.154762	107282.958333	78897.339286
55	57.470238	41.779762	2382.244048	1741.053571	5076.958333	3610.601190	250245.851191	183158.696429	106961.869048	78803.190476
56	58.065476	42.458333	2377.541667	1732.505952	5066.559524	3607.047619	250001.404762	182972.488095	106810.714286	78687.440476
57	58.011905	42.226190	2376.613095	1734.886905	5059.654762	3599.190476	250159.386905	182936.910714	107075.511905	78860.654762
58	57.571429	41.892857	2381.470238	1741.660714	5073.041667	3610.625000	250257.291667	183016.970238	106613.541667	78439.517857
59	56.851190	41.732143	2358.750000	1719.928571	5048.392857	3589.238095	251694.869048	184093.083334	107929.250000	79492.404762
5	58.065476	42.458333	2392.226190	1748.845238	5091.934524	3623.732143	252178.172619	184608.279762	108076.619048	79633.011905
60	56.821429	41.130952	2359.166667	1723.773810	5018.297619	3571.976190	251132.755953	183747.458334	107876.815476	79447.517857
61	57.297619	41.678571	2346.738095	1714.154762	5007.488095	3562.309524	250038.339286	182857.386905	107316.547619	79034.761905
62	57.541667	42.386905	2366.053571	1731.648810	5012.797619	3577.833333	249527.565476	182737.839286	107170.410714	78973.065476
63	57.363095	42.136905	2375.261905	1739.392857	5058.309524	3596.845238	249964.291667	182965.196429	106864.946429	78782.529762
64	57.220238	41.875000	2372.684524	1735.541667	5040.922619	3590.351190	250138.678572	183026.166667	107242.750000	78962.297619
65	58.065476	42.458333	2372.892857	1731.059524	5041.994048	3581.315476	250924.220238	183366.113095	107834.946429	79364.875000
66	57.630952	41.642857	2387.994048	1745.994048	5082.529762	3613.101190	252437.916667	184644.273810	108233.428571	79699.500000
