Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	28.261905	25.869048	2740.166667	2032.178571	5787.767857	4152.494048	251922.553572	184348.125000	82486.029762	60808.208333
101	28.261905	25.869048	2700.601190	1994.303571	5682.279762	4082.875000	250038.553572	182913.875000	82025.613095	60435.267857
102	28.071429	25.630952	2696.392857	1998.916667	5685.898810	4067.267857	249660.142857	182571.416667	82194.208333	60550.648810
103	27.279762	25.422619	2723.238095	2016.880952	5738.815476	4111.803571	249904.297619	182691.297619	81990.190476	60433.678571
104	28.261905	25.869048	2743.583333	2033.964286	5795.357143	4156.559524	252346.660714	184630.494048	82587.101190	60889.648810
105	27.672619	25.577381	2706.666667	2007.142857	5690.809524	4098.309524	249607.553572	182917.053572	81868.339286	60423.553571
106	28.011905	25.619048	2726.113095	2022.327381	5760.827381	4135.529762	249737.797619	182790.535714	81422.023809	60050.988095
107	27.690476	25.500000	2704.815476	2006.053571	5703.267857	4089.196429	250035.053572	182850.898810	82255.458333	60623.101190
108	28.261905	25.869048	2743.059524	2033.857143	5795.821429	4158.559524	252379.833334	184672.392857	82603.089286	60901.494048
109	27.327381	25.660714	2689.690476	2000.083333	5683.755952	4077.291667	251006.994048	183677.303572	82423.428571	60762.250000
10	28.261905	25.869048	2738.767857	2028.255952	5782.660714	4146.220238	251971.011905	184407.750000	82531.232143	60856.803571
11	27.785714	25.797619	2708.404762	2012.750000	5711.738095	4108.059524	249924.636905	182997.755953	82094.178571	60531.000000
12	27.940476	25.726190	2704.333333	2010.821429	5726.619048	4117.416667	249532.416667	182759.166667	81685.750000	60281.630952
13	27.601190	25.565476	2700.851190	2004.505952	5705.559524	4095.511905	249291.583334	182443.571429	82091.940476	60518.142857
14	28.261905	25.869048	2730.803571	2025.398810	5765.107143	4138.571429	249388.583334	182562.369048	81500.238095	60093.261905
15	27.976190	25.678571	2713.327381	2016.351190	5727.797619	4118.559524	249051.601191	182443.136905	81576.511905	60186.345238
16	27.875000	25.470238	2724.946429	2015.863095	5740.404762	4120.892857	249382.821429	182580.011905	81803.053571	60338.041667
17	28.261905	25.869048	2733.791667	2026.065476	5771.404762	4142.071429	249434.386905	182529.422619	81341.119048	59962.011905
18	27.309524	24.821429	2698.732143	1995.922619	5697.744048	4083.494048	250254.553572	182988.244048	82237.309524	60601.130952
19	28.113095	24.505952	2617.976190	1935.523810	5665.946429	4046.672619	251430.136905	183814.125000	82494.351190	60798.529762
1	28.261905	25.869048	2740.559524	2031.000000	5785.202381	4151.916667	251919.541667	184395.434524	82449.595238	60803.738095
20	27.869048	25.452381	2715.875000	2015.077381	5752.369048	4126.500000	250120.625000	183076.922619	81749.035714	60282.500000
21	27.970238	25.660714	2733.488095	2027.404762	5770.065476	4141.184524	249646.404762	182674.535714	81194.345238	59893.488095
22	28.261905	25.869048	2715.660714	2017.767857	5751.107143	4129.083333	249250.363095	182629.184524	81194.684524	59947.660714
23	28.261905	25.869048	2730.517857	2025.779762	5769.220238	4140.613095	249167.916667	182453.714286	80930.440476	59762.892857
24	28.023810	25.750000	2709.994048	2011.494048	5745.702381	4122.476190	249479.767857	182700.196429	81754.642857	60310.630952
25	27.559524	25.535714	2709.988095	2014.250000	5741.863095	4123.589286	249266.154762	182622.869048	81394.160714	60098.113095
26	28.261905	25.869048	2726.958333	2023.041667	5754.023810	4128.440476	249514.684524	182660.208334	81643.875000	60265.005952
27	28.065476	25.113095	2722.738095	2022.011905	5740.815476	4125.267857	249441.732143	182748.970238	81661.232143	60315.291667
28	27.994048	25.708333	2731.601190	2024.005952	5762.041667	4133.029762	251189.505953	183866.422619	82150.547619	60584.940476
29	28.083333	25.738095	2719.916667	2015.166667	5732.636905	4108.755952	250718.851191	183338.386905	82314.535714	60642.702381
2	28.261905	25.869048	2741.809524	2032.857143	5784.113095	4150.553571	251768.059524	184258.416667	82322.761905	60702.119048
30	28.035714	25.154762	2718.803571	2017.136905	5722.702381	4113.488095	249660.202381	182711.380953	81888.178571	60349.130952
31	28.261905	25.869048	2717.702381	2010.642857	5759.011905	4127.166667	249488.154762	182186.190476	81510.910714	59949.660714
32	28.261905	25.869048	2730.059524	2021.583333	5762.041667	4131.065476	249445.148810	182324.446429	81226.565476	59778.613095
33	28.214286	25.559524	2724.547619	2019.178571	5754.982143	4119.791667	249477.244048	182253.244048	81694.696429	60150.672619
34	27.571429	25.488095	2718.095238	2016.238095	5745.607143	4121.857143	249400.345238	182420.714286	81456.142857	59952.702381
35	28.261905	25.869048	2726.357143	2026.702381	5765.375000	4140.541667	249198.125000	182556.375000	80619.851190	59600.089286
36	28.261905	25.869048	2744.261905	2034.500000	5795.684524	4158.863095	250984.202381	183611.440476	81602.226190	60136.166667
37	28.261905	25.869048	2709.827381	2008.875000	5733.208333	4110.720238	250124.767857	182947.994048	82003.392857	60414.547619
