Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	23.666667	21.976190	2770.113095	2083.255952	5448.803571	3926.458333	257992.619048	188731.154762	118505.035714	87041.523810
101	23.309524	21.345238	2723.309524	2038.464286	5343.452381	3854.940476	256006.053572	187219.053572	118009.500000	86656.380952
102	23.083333	21.690476	2726.875000	2050.279762	5351.375000	3845.172619	255633.410714	186877.386905	117951.416667	86582.500000
103	22.684524	21.815476	2746.625000	2062.577381	5401.279762	3884.244048	255928.595238	187032.511905	117478.928571	86204.797619
104	23.666667	21.976190	2773.529762	2085.041667	5455.773810	3930.130952	258426.696429	189018.720238	118674.232143	87164.946429
105	22.273810	21.059524	2736.797619	2057.654762	5355.327381	3873.089286	255591.642857	187245.214286	117623.113095	86525.922619
106	23.416667	21.726190	2756.500000	2073.952381	5422.708333	3909.720238	255779.291667	187151.398810	117011.857143	85956.452381
107	23.255952	21.910714	2733.041667	2057.136905	5365.613095	3863.684524	256017.571429	187165.797619	118109.684524	86723.803571
108	23.666667	21.976190	2773.684524	2085.565476	5456.928571	3932.702381	258460.666667	189062.428572	118693.684524	87182.386905
109	23.380952	21.785714	2719.273810	2051.095238	5349.952381	3855.083333	256957.458334	187976.946429	118354.071429	86945.821429
10	23.666667	21.976190	2768.416667	2079.738095	5445.279762	3921.613095	258040.714286	188788.083334	118537.291667	87084.482143
11	23.666667	21.976190	2739.845238	2064.119048	5381.047619	3886.476190	255915.315476	187333.041667	117810.833333	86539.797619
12	23.541667	21.648810	2732.845238	2060.988095	5388.684524	3893.779762	255533.684524	187102.351191	117434.678571	86344.440476
13	23.464286	21.904762	2739.226190	2057.428571	5374.607143	3875.630952	255281.142857	186770.357143	117660.386905	86435.410714
14	23.666667	21.976190	2763.482143	2078.363095	5430.750000	3915.214286	255438.351191	186929.875000	117213.119048	86123.428571
15	23.380952	21.785714	2742.910714	2066.339286	5393.863095	3895.672619	255063.625000	186790.648810	117235.345238	86169.571429
16	23.488095	21.845238	2755.166667	2067.773810	5404.583333	3897.595238	255414.869048	186934.119048	117629.386905	86438.803571
17	23.666667	21.976190	2766.291667	2079.244048	5433.398810	3917.220238	255487.654762	186899.500000	116883.505952	85850.291667
18	23.011905	20.547619	2715.470238	2034.065476	5356.357143	3854.392857	256236.303572	187297.779762	117980.946429	86635.172619
19	23.666667	21.559524	2630.714286	1972.833333	5311.672619	3806.946429	257365.619048	188083.285715	118552.380952	87054.869048
1	23.666667	21.976190	2770.446429	2082.434524	5445.678571	3925.702381	257988.125000	188777.363095	118484.732143	87056.922619
20	23.666667	21.976190	2745.732143	2066.636905	5418.291667	3904.922619	256152.898810	187432.815476	117483.571429	86304.071429
21	23.666667	21.976190	2763.482143	2079.672619	5432.232143	3915.184524	255698.410714	187044.934524	116784.000000	85810.809524
22	23.666667	21.976190	2747.845238	2071.357143	5415.779762	3905.613095	255278.321429	186984.845238	116919.309524	85977.214286
23	23.666667	21.976190	2759.714286	2077.107143	5429.476190	3914.904762	255214.208334	186822.196429	116643.113095	85800.744048
24	23.309524	21.833333	2741.422619	2064.005952	5411.095238	3898.904762	255494.392857	187042.940476	117491.964286	86353.869048
25	23.666667	21.559524	2742.654762	2066.833333	5410.017857	3900.779762	255289.148810	186972.482143	117176.434524	86188.529762
26	23.666667	21.976190	2758.494048	2075.005952	5419.071429	3904.702381	255548.910714	187017.755953	117328.482143	86249.029762
27	23.541667	21.648810	2755.142857	2073.654762	5409.011905	3903.678571	255464.065476	187102.875000	117255.446429	86283.767857
28	23.666667	21.976190	2759.285714	2071.964286	5423.315476	3906.494048	257232.750000	188227.809524	118090.898809	86765.517857
29	23.666667	21.976190	2748.845238	2064.011905	5396.464286	3886.440476	256749.660714	187694.113095	118018.821429	86628.916667
2	23.666667	21.976190	2771.755952	2083.934524	5446.172619	3925.089286	257835.797619	188640.511905	118340.607143	86939.107143
30	23.523810	21.619048	2748.357143	2068.500000	5389.047619	3890.071429	255665.994048	187053.160715	117548.684524	86331.303571
31	23.666667	21.976190	2749.922619	2063.708333	5422.083333	3903.345238	255518.595238	186533.178572	116914.553571	85693.613095
32	22.994048	21.720238	2759.845238	2072.821429	5422.113095	3905.982143	255489.851191	186686.315476	116728.059524	85624.428571
33	23.559524	21.583333	2755.815476	2071.184524	5419.315476	3899.089286	255511.095238	186602.369048	117229.285714	85930.714286
34	23.666667	21.976190	2751.529762	2068.815476	5411.154762	3898.702381	255424.494048	186769.184524	117107.059524	85880.119048
35	23.404762	21.916667	2762.380952	2080.083333	5427.244048	3914.148810	255235.916667	186923.059524	116388.535714	85655.380952
36	23.666667	21.642857	2773.071429	2085.142857	5455.595238	3931.666667	257063.946429	188001.005953	117589.809524	86340.928571
37	23.666667	21.976190	2741.291667	2063.172619	5397.827381	3888.160714	256124.970238	187278.101191	117848.648809	86500.994048
38	23.130952	21.904762	2760.053571	2074.577381	5425.142857	3910.904762	255557.928572	186972.000000	117066.934524	86022.672619
39	23.666667	21.976190	2753.142857	2072.083333	5415.351190	3904.922619	255197.994048	186911.184524	117182.452381	86129.166667
3	23.666667	21.976190	2771.089286	2082.208333	5446.113095	3927.327381	257840.791667	188633.565476	118405.863095	86982.803571
40	23.345238	21.833333	2759.672619	2077.863095	5425.071429	3913.011905	255361.464286	186846.642857	117179.357143	86030.535714
41	23.535714	21.904762	2749.636905	2068.779762	5389.714286	3892.404762	254986.654762	186772.678572	117202.053571	86227.720238
42	23.452381	21.797619	2755.273810	2069.547619	5409.398810	3903.244048	255296.315476	186957.875000	116995.750000	86091.571429
43	23.071429	21.583333	2742.821429	2066.583333	5410.916667	3899.845238	255816.464286	187192.178572	117277.738095	86231.000000
44	23.666667	21.976190	2773.309524	2085.452381	5452.369048	3929.892857	258393.755953	189017.517857	118670.946429	87166.732143
45	23.410714	21.577381	2754.863095	2068.541667	5411.851190	3894.505952	256046.636905	187143.279762	117507.970238	86214.208333
46	23.500000	21.678571	2749.440476	2066.238095	5416.565476	3897.494048	255302.678572	186615.357143	116980.345238	85841.047619
47	23.375000	21.767857	2754.565476	2071.625000	5424.196429	3902.005952	255418.940476	186676.964286	117320.452381	86079.845238
48	23.309524	21.464286	2750.488095	2068.083333	5400.130952	3893.595238	255145.726191	186747.357143	117531.601190	86383.958333
49	23.059524	21.511905	2746.232143	2068.327381	5399.815476	3889.255952	255278.047619	186711.880953	117242.589286	86129.553571
4	23.666667	21.976190	2766.642857	2081.035714	5437.690476	3920.309524	257709.035714	188528.714286	118399.130952	86976.464286
50	23.666667	21.976190	2763.517857	2076.303571	5424.517857	3913.684524	255656.684524	186982.779762	117036.625000	85950.255952
51	23.273810	21.845238	2752.892857	2067.904762	5401.982143	3891.660714	256338.815476	187473.589286	117739.922619	86441.601190
52	23.666667	21.976190	2774.422619	2085.863095	5457.357143	3932.809524	258488.613095	189081.053572	118701.684524	87188.255952
53	23.666667	21.976190	2748.565476	2069.005952	5406.428571	3895.678571	256455.916667	187493.642857	117677.226190	86338.916667
54	23.488095	21.845238	2756.785714	2070.988095	5416.279762	3901.613095	255756.541667	186843.458334	117497.053571	86144.339286
55	23.607143	21.440476	2760.928571	2075.380952	5433.511905	3914.690476	255749.196429	187105.767857	117058.178571	85995.916667
56	23.666667	21.976190	2760.154762	2068.738095	5427.255952	3912.529762	255499.041667	186918.005953	117059.166667	85983.833333
57	23.553571	21.589286	2753.386905	2065.255952	5414.672619	3900.744048	255644.857143	186871.821429	117203.119048	86044.130952
58	23.059524	21.797619	2762.869048	2076.666667	5432.940476	3915.440476	255762.720238	186970.684524	116774.226190	85673.440476
59	23.666667	21.976190	2741.607143	2057.726190	5402.071429	3891.619048	257195.571429	188043.297619	118233.803571	86819.339286
5	23.666667	21.976190	2773.136905	2084.053571	5450.452381	3928.119048	257704.011905	188575.404762	118333.476190	86939.607143
60	22.880952	21.619048	2724.660714	2048.446429	5361.666667	3867.880952	256582.714286	187663.261905	118268.059524	86857.369048
61	22.934524	21.422619	2709.511905	2035.380952	5346.714286	3850.892857	255465.107143	186752.488095	117766.910714	86481.625000
62	23.666667	21.976190	2744.982143	2064.648810	5370.345238	3876.869048	254971.589286	186658.184524	117347.244048	86261.767857
63	23.285714	21.833333	2753.011905	2073.119048	5415.255952	3900.875000	255450.851191	186905.720238	116976.869048	85968.297619
64	23.666667	21.976190	2757.845238	2074.535714	5401.476190	3895.511905	255614.494048	186961.672619	117381.994048	86198.184524
65	23.428571	21.726190	2752.208333	2064.803571	5395.815476	3881.494048	256399.607143	187287.690476	118031.208333	86627.553571
66	23.380952	21.976190	2767.398810	2081.113095	5442.797619	3917.369048	257955.357143	188602.047619	118520.214286	87017.142857
