Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	94.753472	82.545139	3335.413194	2637.496528	8620.593750	7003.135417	433117.444444	353851.611110	181299.149306	147578.899305
101	94.072917	82.531250	3304.447917	2610.406250	8514.743056	6921.743056	430822.878472	351916.961805	180756.704861	147097.954861
102	94.069444	82.111111	3288.531250	2603.489583	8454.586806	6875.170139	429681.805555	350863.097221	180471.329861	146851.204861
103	94.357639	82.482639	3318.600694	2624.392361	8555.211806	6952.670139	430445.875000	351662.749999	180638.600694	147022.100694
104	95.090278	83.048611	3338.131944	2639.715278	8628.878472	7009.920139	433703.864583	354285.531249	181540.704861	147765.788194
105	94.187500	82.270833	3288.447917	2596.447917	8494.663194	6898.413194	429745.250000	350971.624999	180105.916667	146574.458333
106	94.548611	82.256944	3317.850694	2622.184028	8564.736111	6963.319444	429242.475694	350779.475694	178810.465278	145676.381944
107	91.961806	80.545139	3295.440972	2606.107639	8510.670139	6906.003472	430328.135416	351395.927082	180573.656250	146956.614583
108	94.840278	82.798611	3338.899306	2639.190972	8630.090278	7011.590278	433764.427083	354332.843749	181570.222222	147786.888889
109	93.600694	82.142361	3288.715278	2596.465278	8480.951389	6891.701389	431379.569444	352434.277777	180983.048611	147326.798611
10	94.156250	82.489583	3312.468750	2618.927083	8567.041667	6957.250000	431038.479166	352114.604166	180714.885417	147087.468750
11	93.729167	82.062500	3307.350694	2612.309028	8536.607639	6937.107639	430150.809027	351379.767360	180327.572917	146771.989583
12	93.090278	81.298611	3305.944444	2611.652778	8542.468750	6942.385417	429556.871527	350870.246527	179818.312500	146325.437500
13	93.395833	81.312500	3294.861111	2603.361111	8485.402778	6889.819444	428143.881944	349788.340277	179625.187500	146227.312500
14	94.645833	82.770833	3318.812500	2625.187500	8570.732639	6965.440972	428337.767361	349986.517360	179260.746528	145927.496528
15	94.319444	82.152778	3295.607639	2607.274306	8531.538194	6935.829861	427933.052083	349420.802082	179119.784722	145747.159722
16	93.965278	82.173611	3311.715278	2616.298611	8538.111111	6945.652778	428417.149305	350076.690971	179695.291667	146287.833333
17	94.395833	82.562500	3322.322917	2625.864583	8582.409722	6976.993056	428751.628472	350383.086805	179068.895833	145783.187500
18	93.201389	81.743056	3285.263889	2590.972222	8521.631944	6914.298611	430316.270833	351432.062499	180313.562500	146732.437500
19	93.614583	82.072917	3246.038194	2567.704861	8511.229167	6910.729167	432780.506944	353426.965277	181307.875000	147530.416667
1	94.711806	82.545139	3305.812500	2614.437500	8542.937500	6939.145833	430657.159722	351831.701388	180196.555556	146673.430555
20	94.440972	82.649306	3312.302083	2617.260417	8574.829861	6965.663194	430578.951389	351839.201388	180090.211806	146649.920139
21	94.409722	82.409722	3321.621528	2628.288194	8579.562500	6975.312500	428982.409722	350570.034721	178613.920139	145512.461805
22	93.652778	82.527778	3318.246528	2622.663194	8561.131944	6959.715278	429007.760416	350518.302082	179272.635417	145932.677083
23	94.673611	82.673611	3314.666667	2624.625000	8587.059028	6982.517361	429142.486111	350775.944444	179040.138889	145813.180555
24	94.802083	81.677083	3304.361111	2615.944444	8549.677083	6942.093750	429341.402777	350767.152777	179973.475694	146542.142361
25	94.690972	82.357639	3305.586806	2613.086806	8553.965278	6950.840278	429054.708333	350616.041666	179445.736111	146105.819444
26	94.923611	83.048611	3310.319444	2613.861111	8566.326389	6959.993056	429651.420139	350881.836805	180168.670139	146597.461805
27	94.979167	82.770833	3317.204861	2623.246528	8559.312500	6953.437500	429429.680555	350804.388888	179881.743056	146412.659722
28	94.631944	81.965278	3321.989583	2626.406250	8575.118056	6966.743056	431821.392361	352788.225694	180855.128472	147213.878472
29	94.527778	82.152778	3313.152778	2615.569444	8551.829861	6949.496528	431779.548611	352647.340277	180966.833333	147267.500000
2	94.329861	82.746528	3318.777778	2623.069444	8559.399306	6954.482639	429128.177083	350619.135416	179119.486111	145843.569444
30	94.142361	82.434028	3311.659722	2615.368056	8536.527778	6934.444444	429970.201389	351306.159721	180198.937500	146704.104167
31	94.034722	82.368056	3306.666667	2614.958333	8569.555556	6961.847222	429405.263889	350624.055555	179463.385417	146025.927083
32	93.600694	82.767361	3319.260417	2624.552083	8581.496528	6974.454861	429429.381944	350854.173610	178959.767361	145685.392361
33	93.951389	81.743056	3317.940972	2624.149306	8571.069444	6963.152778	429134.343750	350606.802082	179480.690972	146119.857639
34	94.684028	82.559028	3309.107639	2618.315972	8557.517361	6949.225694	429258.020833	350573.270832	179328.357639	145950.399305
35	94.920139	82.753472	3333.131944	2634.048611	8597.805556	6982.847222	430464.788194	351446.996527	179437.295139	145888.086805
36	95.090278	83.048611	3338.322917	2637.531250	8624.420139	7007.503472	432228.621527	352996.913194	180245.722222	146638.097222
37	94.000000	82.250000	3311.850694	2617.850694	8552.079861	6938.663194	430886.451389	351957.868055	180710.593750	147077.177083
38	94.562500	82.104167	3321.406250	2625.322917	8576.552083	6970.177083	429205.486111	350676.777777	179570.642361	146172.850694
39	94.694444	82.986111	3309.503472	2618.086806	8574.354167	6972.604167	428987.204861	350594.538194	179551.975694	146240.475694
3	94.305556	82.555556	3315.854167	2623.145833	8569.704861	6964.829861	429095.656250	350514.822916	179472.652778	146077.402778
40	94.031250	81.822917	3319.812500	2621.062500	8571.322917	6960.406250	428606.927083	349943.802082	179616.697917	146068.156250
41	94.555556	82.513889	3295.989583	2610.197917	8521.038194	6927.954861	428085.913194	349801.954860	179522.621528	146150.121528
42	94.256944	82.423611	3312.048611	2619.548611	8548.368056	6946.451389	428762.138889	350306.888888	179169.184028	145887.684028
43	94.635417	82.510417	3320.006944	2623.840278	8572.958333	6966.875000	430227.579861	351392.996527	179930.586806	146446.211805
44	95.090278	83.048611	3337.329861	2638.746528	8625.413194	7009.121528	433657.538194	354251.121527	181528.381944	147752.381944
