Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	49.548611	40.881944	3701.902778	2905.194444	9728.774306	7893.524306	432443.364583	353321.531249	137849.843750	112271.552083
101	49.458333	40.750000	3659.440972	2867.065972	9600.888889	7791.388889	430166.677083	351405.593749	137452.423611	111913.298611
102	49.423611	40.881944	3654.520833	2868.187500	9549.885417	7753.635417	429002.298611	350328.548610	137444.562500	111891.604167
103	49.593750	40.760417	3686.756944	2891.465278	9660.888889	7838.430556	429779.909722	351139.201388	137341.107639	111847.315972
104	49.666667	41.125000	3705.968750	2908.510417	9738.052083	7900.802083	433028.260416	353753.843749	138031.690972	112407.565972
105	48.864583	40.239583	3651.652778	2865.486111	9590.225694	7778.892361	429092.909722	350458.659721	136998.048611	111541.715278
106	49.375000	40.916667	3684.222222	2891.555556	9670.888889	7852.638889	428565.246527	350247.371527	135945.034722	110819.368056
107	48.100694	39.934028	3663.517361	2873.059028	9606.368056	7785.451389	429672.670139	350881.961805	137522.197917	111970.572917
108	49.666667	41.125000	3706.111111	2907.902778	9738.666667	7901.708333	433089.447916	353801.697916	138048.427083	112418.218750
109	47.947917	40.656250	3649.791667	2862.458333	9568.975694	7763.392361	430719.038194	351920.371527	137759.656250	112186.739583
10	49.500000	40.791667	3674.128472	2884.586806	9658.458333	7835.041667	430376.142361	351589.809027	137535.357639	112004.899306
11	49.031250	40.781250	3672.725694	2879.559028	9629.694444	7813.986111	429477.201389	350853.076388	137324.826389	111817.534722
12	49.111111	40.944444	3663.652778	2878.111111	9635.565972	7821.940972	428899.496527	350353.288194	136767.125000	111346.625000
13	49.274306	40.399306	3656.809028	2866.642361	9565.895833	7761.270833	427482.739583	349265.281249	136996.187500	111583.520833
14	49.274306	40.774306	3687.392361	2894.475694	9677.045139	7853.586806	427661.052083	349453.343749	136098.468750	110851.802083
15	49.031250	40.697917	3664.409722	2876.784722	9630.402778	7817.194444	427254.486111	348887.736110	136294.447917	110967.822917
16	48.795139	40.670139	3680.329861	2884.579861	9634.638889	7825.055556	427746.447916	349548.614582	136623.822917	111282.364583
17	49.416667	41.125000	3694.680556	2897.805556	9690.274306	7867.607639	428074.597222	349851.388888	136015.131944	110806.340278
18	48.336806	39.711806	3637.260417	2849.677083	9588.947917	7770.947917	429691.545139	350936.253471	137496.100694	111953.184028
19	48.850694	40.475694	3591.090278	2810.173611	9593.135417	7773.802083	432145.934027	352926.725694	137916.447917	112286.656250
1	49.475694	40.725694	3669.513889	2880.347222	9644.493056	7820.743056	429998.850694	351313.434027	136977.920139	111563.170139
20	48.736111	40.152778	3675.909722	2883.409722	9676.923611	7849.965278	429898.708333	351304.833332	136864.163194	111490.329861
21	49.458333	41.125000	3687.982639	2895.732639	9685.131944	7863.506944	428306.777777	350040.111110	135689.538194	110549.246528
