Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	34.201389	28.451389	3670.809028	2911.475694	9080.996528	7392.996528	442015.260416	361009.385416	200072.166667	162822.000000
101	33.895833	28.312500	3618.423611	2868.256944	8953.576389	7293.159722	439620.611111	358992.986110	199591.746528	162414.871528
102	33.597222	28.055556	3626.298611	2876.548611	8910.038194	7260.038194	438428.010416	357906.718749	199327.850694	162147.059028
103	34.027778	28.152778	3650.336806	2893.920139	9019.222222	7341.722222	439288.961805	358776.003471	198797.329861	161773.954861
104	34.201389	28.451389	3675.083333	2914.791667	9089.180556	7399.388889	442610.000000	361450.208332	200355.222222	163039.597222
105	33.333333	27.833333	3619.434028	2871.309028	8949.892361	7285.642361	438523.822916	358031.572916	198824.972222	161761.680555
106	33.909722	28.243056	3652.739583	2897.614583	9026.378472	7353.420139	438073.968750	357889.635416	197440.895833	160791.937500
107	33.631944	28.256944	3630.152778	2878.194444	8963.392361	7289.850694	439126.822916	358464.572916	199479.531250	162301.364583
108	34.201389	28.451389	3676.277778	2914.861111	9090.336806	7400.586806	442672.500000	361498.499999	200373.885417	163053.177083
109	34.201389	28.451389	3620.607639	2869.982639	8921.611111	7265.277778	440139.968750	359481.260416	199788.940972	162594.940972
10	34.048611	28.381944	3647.812500	2893.979167	9019.489583	7341.989583	439881.260416	359227.093749	199270.579861	162161.496528
11	33.826389	28.326389	3644.048611	2887.756944	8990.899306	7320.649306	438954.944444	358462.236110	199053.711806	161968.670139
12	34.055556	28.138889	3633.687500	2884.270833	8992.736111	7324.361111	438375.020833	357966.312499	198605.447917	161573.781250
13	33.840278	27.965278	3629.197917	2875.697917	8933.111111	7270.736111	436913.357639	356837.107638	198456.940972	161515.774305
14	34.062500	28.312500	3656.121528	2900.954861	9034.159722	7355.784722	437184.496527	357102.163193	197722.364583	160940.822917
15	33.951389	27.576389	3636.479167	2884.520833	8996.388889	7328.722222	436731.541666	356503.458332	197931.798611	161014.715278
16	33.861111	28.277778	3650.052083	2892.093750	8993.260417	7328.843750	437235.076389	357175.576388	198399.274306	161501.357639
17	34.201389	28.451389	3664.840278	2904.881944	9044.065972	7366.190972	437611.263889	357511.305555	197414.312500	160695.895833
18	33.149306	27.024306	3590.913194	2840.954861	8942.527778	7268.027778	439117.656250	358503.197916	199275.079861	162133.913194
19	33.118056	27.409722	3539.371528	2796.038194	8928.302083	7254.802083	441581.409722	360501.159721	200228.065972	162920.232639
1	34.034722	28.451389	3638.024306	2885.940972	8998.715278	7322.548611	439469.555555	358921.847221	198963.024306	161908.940972
20	33.604167	27.770833	3649.260417	2893.468750	9034.104167	7354.062500	439418.256944	358948.798610	198646.111111	161706.111111
21	34.201389	28.451389	3661.701389	2905.951389	9044.218750	7365.260417	437836.506944	357697.131943	197062.277778	160433.652778
22	34.170139	28.211806	3654.607639	2894.107639	9018.500000	7346.291667	437836.645833	357623.687499	197795.645833	160975.645833
23	33.576389	28.118056	3651.430556	2899.638889	9048.354167	7371.937500	438002.954861	357912.163193	197709.149306	160984.357639
24	34.010417	28.135417	3639.520833	2890.604167	9010.677083	7331.677083	438154.833333	357857.291666	198603.586806	161674.836805
25	34.201389	28.451389	3642.517361	2889.559028	9018.541667	7342.458333	437874.972222	357714.972221	198149.555556	161289.555555
26	34.201389	28.451389	3646.850694	2889.100694	9024.694444	7347.694444	438479.968750	357981.177082	198569.579861	161511.413194
27	33.701389	28.076389	3652.392361	2896.184028	9022.322917	7344.739583	438269.965277	357913.965277	198252.479167	161317.479167
28	33.833333	28.125000	3656.336806	2899.336806	9032.392361	7352.684028	440680.916666	359914.124999	199470.184028	162329.809028
29	34.107639	28.232639	3643.041667	2886.166667	9003.423611	7330.798611	440612.340277	359751.840277	199576.951389	162375.701389
2	34.201389	28.451389	3656.895833	2900.104167	9021.475694	7345.142361	437960.590277	357726.256943	197748.593750	160964.927083
30	34.034722	28.451389	3649.312500	2890.812500	9001.604167	7326.229167	438780.868055	358392.118055	198660.913194	161716.329861
31	33.951389	28.159722	3642.774306	2889.232639	9029.079861	7350.871528	438245.024305	357734.982638	197883.937500	160945.354167
32	33.447917	28.031250	3654.958333	2899.416667	9043.256944	7363.631944	438280.572916	357976.406249	197585.670139	160824.045139
33	34.201389	28.451389	3655.506944	2899.756944	9035.173611	7355.965278	437974.916666	357720.624999	198015.763889	161141.305555
34	34.201389	28.451389	3650.020833	2898.270833	9019.468750	7339.093750	438090.895833	357678.270832	197913.163194	161026.579861
35	34.201389	28.451389	3669.170139	2909.920139	9058.340278	7371.631944	439348.913194	358590.663193	198100.677083	161039.927083
36	34.201389	28.451389	3674.833333	2912.291667	9086.375000	7397.708333	441130.062500	360156.479166	199146.500000	161982.041667
37	34.201389	28.451389	3644.892361	2890.350694	9008.718750	7325.885417	439705.927083	359049.135416	199357.232639	162209.940972
38	34.201389	28.451389	3658.381944	2901.048611	9039.309028	7360.684028	438057.354166	357797.479166	197790.423611	160978.756944
39	34.145833	28.145833	3645.423611	2893.090278	9036.086806	7362.420139	437828.822916	357712.656249	198045.815972	161268.315972
3	34.201389	28.451389	3652.190972	2898.440972	9029.527778	7354.236111	437943.447916	357633.156249	198274.350694	161331.017361
40	32.590278	27.590278	3653.899306	2894.315972	9031.440972	7350.107639	437452.864583	357054.072916	197843.892361	160854.434028
41	33.208333	27.750000	3632.833333	2886.000000	8980.611111	7317.444444	436877.944444	356882.152777	197988.791667	161148.083333
42	34.201389	28.034722	3645.583333	2891.083333	9007.388889	7335.763889	437588.958333	357408.958332	197798.565972	160972.315972
43	34.048611	28.381944	3652.802083	2895.968750	9030.232639	7354.024306	439077.715277	358512.048610	198393.388889	161414.638889
44	34.201389	28.451389	3673.697917	2913.697917	9085.906250	7398.531250	442561.246527	361414.454860	200336.833333	163023.791667
45	34.201389	28.368056	3639.083333	2891.083333	9014.420139	7340.003472	439145.531250	358791.989582	198756.916667	161802.416667
46	33.767361	27.767361	3634.562500	2884.062500	9003.520833	7325.520833	437418.430555	357041.638888	197624.010417	160706.593750
47	34.006944	28.215278	3649.795139	2894.086806	9022.829861	7341.204861	437522.031250	357170.364582	198109.173611	161149.715278
48	34.027778	28.319444	3635.791667	2883.750000	8978.375000	7307.500000	437062.697916	356658.197916	198447.256944	161355.173611
49	34.048611	28.381944	3642.711806	2888.878472	9007.670139	7333.211806	437379.402777	357086.902777	198023.729167	161118.479167
4	33.979167	28.229167	3636.326389	2880.576389	8995.798611	7316.548611	438400.364583	357961.947916	198554.753472	161582.670139
50	33.993056	28.451389	3657.097222	2899.138889	9035.805556	7353.347222	438432.392361	357991.767360	197955.972222	161073.222222
51	34.159722	27.826389	3645.815972	2891.565972	9000.475694	7321.892361	439816.541666	359092.833332	199176.114583	162067.656250
52	34.201389	28.451389	3676.309028	2915.100694	9090.336806	7400.586806	442689.843750	361514.302082	200379.847222	163057.430555
53	33.888889	28.347222	3637.937500	2886.520833	9013.833333	7340.041667	439597.944444	358944.069443	198798.652778	161774.444444
54	33.680556	27.930556	3652.090278	2891.340278	9009.312500	7328.270833	437577.631944	357252.215277	198014.489583	161092.114583
55	34.201389	28.451389	3655.763889	2902.847222	9043.354167	7359.354167	437542.326389	357548.534721	197388.291667	160796.083333
56	33.895833	28.395833	3651.479167	2894.312500	9028.607639	7347.190972	437181.336805	357043.128471	197377.631944	160627.840278
57	34.097222	27.972222	3649.704861	2896.621528	9012.413194	7339.913194	437393.711805	357142.378471	197556.750000	160725.583333
58	33.878472	28.253472	3662.538194	2903.038194	9044.506944	7361.798611	438500.319444	358020.694443	197472.784722	160688.284722
59	34.034722	28.451389	3636.333333	2882.000000	9026.069444	7340.986111	440728.312500	359862.562499	199703.690972	162479.274305
5	34.201389	28.451389	3662.850694	2902.767361	9051.979167	7367.562500	438579.024305	357879.190971	198291.277778	161260.986111
60	34.010417	28.385417	3621.770833	2873.979167	8939.500000	7293.208333	440011.656250	359329.656249	199722.305556	162517.638889
61	33.784722	28.451389	3597.513889	2844.847222	8923.927083	7264.385417	437373.319444	357147.402777	198647.062500	161648.562500
62	33.343750	28.218750	3625.885417	2881.010417	8924.097222	7287.555556	435846.302083	356555.843749	197897.065972	161275.065972
63	33.746528	28.288194	3638.434028	2886.267361	9000.340278	7340.923611	437047.989583	356980.781249	197339.406250	160605.114583
64	33.909722	28.451389	3648.239583	2894.406250	8987.079861	7321.288194	437355.718750	357292.302082	197914.881944	161114.215278
