Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	50.229167	39.062500	3630.354167	2907.354167	9669.187500	7812.020833	430355.895833	349968.062500	137362.416667	111020.750000
101	50.125000	38.875000	3587.645833	2870.479167	9555.062500	7710.562500	428314.645833	348090.145833	137002.166667	110666.666667
102	50.062500	39.062500	3584.187500	2868.937500	9503.583333	7669.250000	427058.437500	346982.770833	136992.625000	110642.958333
103	50.208333	38.958333	3618.395833	2892.812500	9600.833333	7758.083333	427443.770833	347838.770833	136803.687500	110601.854167
104	50.354167	39.270833	3636.104167	2910.437500	9679.666667	7819.666667	430964.520833	350415.770833	137549.312500	111156.062500
105	49.041667	38.708333	3576.333333	2868.083333	9523.937500	7698.687500	426944.562500	347134.812500	136494.833333	110297.416667
106	50.062500	39.062500	3612.145833	2892.395833	9607.645833	7769.395833	426179.833333	346906.583333	135323.916667	109581.916667
107	49.020833	37.937500	3591.437500	2873.937500	9545.041667	7700.458333	427375.750000	347469.916667	136976.520833	110706.354167
108	50.354167	39.270833	3636.104167	2909.520833	9679.458333	7820.125000	431008.583333	350445.333333	137562.750000	111161.000000
109	48.520833	38.937500	3586.604167	2864.520833	9504.833333	7686.750000	428704.958333	348596.041667	137286.125000	110934.625000
10	50.104167	39.104167	3605.916667	2885.416667	9602.041667	7754.125000	428391.854167	348248.687500	137067.854167	110745.520833
11	49.645833	38.979167	3600.083333	2879.083333	9573.270833	7734.687500	427471.666667	347503.166667	136846.833333	110559.166667
12	50.020833	39.104167	3599.250000	2880.916667	9585.291667	7741.625000	427033.645833	347014.979167	136341.708333	110101.375000
13	49.854167	38.437500	3590.895833	2868.062500	9507.979167	7681.645833	425601.500000	345891.166667	136536.229167	110331.229167
14	49.729167	38.979167	3614.187500	2896.354167	9618.729167	7771.395833	425558.958333	346105.458333	135599.354167	109605.770833
15	50.145833	38.812500	3595.541667	2878.708333	9562.041667	7738.791667	425053.229167	345595.145833	135769.458333	109724.958333
16	48.895833	38.979167	3611.312500	2886.229167	9579.562500	7743.312500	425610.625000	346270.041667	136086.458333	110067.875000
17	50.104167	39.270833	3625.666667	2899.333333	9634.354167	7786.187500	425929.312500	346536.645833	135500.187500	109566.187500
18	48.645833	38.062500	3570.958333	2849.125000	9533.395833	7689.062500	427650.979167	347592.895833	137005.812500	110702.479167
19	49.125000	38.708333	3526.833333	2811.416667	9535.708333	7692.541667	430106.541667	349565.458333	137438.125000	111032.041667
1	50.354167	38.854167	3604.208333	2882.708333	9576.354167	7745.270833	428020.125000	347974.958333	136534.604167	110300.020833
20	49.666667	38.333333	3603.770833	2885.020833	9612.791667	7770.541667	427846.562500	347955.479167	136371.666667	110239.750000
21	50.354167	39.270833	3619.666667	2897.500000	9629.270833	7780.687500	426343.104167	346725.104167	135265.229167	109310.979167
22	50.125000	39.208333	3608.458333	2887.791667	9601.166667	7763.750000	426146.250000	346740.500000	135547.875000	109556.125000
23	49.437500	39.104167	3616.500000	2893.000000	9636.937500	7786.937500	426752.104167	346897.937500	135576.270833	109466.437500
24	49.604167	39.104167	3602.479167	2884.062500	9598.583333	7749.916667	426983.104167	346891.937500	136439.354167	110201.520833
25	50.354167	38.854167	3598.520833	2884.187500	9602.833333	7760.583333	426518.375000	346769.041667	135810.708333	109745.208333
