Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	37.291667	23.041667	3500.187500	1799.770833	7469.187500	3562.520833	323765.354167	160897.854167	105884.250000	53375.500000
101	37.291667	23.041667	3456.854167	1763.270833	7335.812500	3505.229167	321387.562500	159649.562500	105344.562500	53022.645833
102	36.958333	22.875000	3445.604167	1772.270833	7335.395833	3493.229167	320852.937500	159443.354167	105524.041667	53155.625000
103	35.708333	22.708333	3480.250000	1783.000000	7398.958333	3528.625000	321127.979167	159460.479167	105230.833333	53048.250000
104	37.291667	23.041667	3506.250000	1800.416667	7476.520833	3567.187500	324302.750000	161156.333333	106018.083333	53445.916667
105	36.458333	22.791667	3460.020833	1774.104167	7354.104167	3513.104167	320778.500000	159581.000000	105055.083333	53027.833333
106	37.041667	22.791667	3485.750000	1790.250000	7436.250000	3548.416667	320929.875000	159523.041667	104446.854167	52692.854167
107	36.208333	22.875000	3455.229167	1777.145833	7350.125000	3515.625000	321230.062500	159616.479167	105595.416667	53211.166667
108	37.291667	23.041667	3505.500000	1800.333333	7476.291667	3568.958333	324341.437500	161185.354167	106042.250000	53452.583333
109	35.375000	22.958333	3427.729167	1775.979167	7326.625000	3504.125000	322632.041667	160348.958333	105822.604167	53331.354167
10	37.291667	23.041667	3501.250000	1794.416667	7461.645833	3557.062500	323861.937500	160977.354167	105959.583333	53419.083333
11	36.666667	23.000000	3461.312500	1782.729167	7369.916667	3525.416667	321248.729167	159654.062500	105408.062500	53104.562500
12	36.729167	22.979167	3455.270833	1779.187500	7387.604167	3533.687500	320698.666667	159404.416667	104872.500000	52873.916667
13	36.291667	22.791667	3455.979167	1771.062500	7356.250000	3515.666667	320387.958333	159304.875000	105408.145833	53136.062500
14	37.291667	23.041667	3487.895833	1793.562500	7439.250000	3549.500000	320683.041667	159343.791667	104697.520833	52749.437500
15	37.125000	22.791667	3470.375000	1786.291667	7393.520833	3533.104167	320242.187500	159351.937500	104784.979167	52854.812500
16	36.375000	22.791667	3484.833333	1784.250000	7404.125000	3537.541667	320496.520833	159348.104167	104994.437500	52965.354167
17	37.291667	23.041667	3491.895833	1795.562500	7442.500000	3557.166667	320485.395833	159301.145833	104384.729167	52605.979167
18	35.958333	22.541667	3444.645833	1766.729167	7347.666667	3508.666667	321671.312500	159670.395833	105566.687500	53182.437500
19	37.291667	21.541667	3357.333333	1710.666667	7326.520833	3460.854167	323229.291667	160373.708333	105914.791667	53353.291667
1	37.291667	23.041667	3501.416667	1797.500000	7460.791667	3564.791667	323706.916667	160964.666667	105830.041667	53375.041667
20	37.291667	22.375000	3469.083333	1785.250000	7421.812500	3542.229167	321402.895833	159863.979167	104938.791667	52934.291667
21	36.708333	23.041667	3490.250000	1793.166667	7441.395833	3553.729167	320824.437500	159360.604167	104174.645833	52541.145833
