Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	55.083333	38.416667	3961.604167	2895.854167	10114.083333	7922.916667	451146.041667	352962.708333	144097.062500	112196.145833
101	54.812500	38.312500	3915.979167	2857.562500	9988.645833	7815.645833	448768.833333	351037.083333	143678.291667	111842.041667
102	55.062500	38.312500	3909.395833	2858.145833	9925.104167	7785.270833	447618.416667	349971.750000	143697.979167	111816.562500
103	55.208333	38.208333	3943.541667	2882.458333	10041.437500	7868.937500	448409.458333	350784.208333	143557.562500	111770.479167
104	55.208333	38.625000	3963.979167	2899.062500	10123.604167	7928.104167	451745.166667	353317.666667	144280.729167	112314.729167
105	54.604167	37.520833	3912.583333	2855.583333	9975.895833	7807.395833	447806.333333	350114.083333	143248.312500	111472.895833
106	54.916667	38.416667	3942.458333	2881.958333	10055.083333	7881.083333	447056.062500	349869.812500	142086.937500	110745.437500
107	53.666667	37.333333	3916.312500	2863.562500	9981.208333	7816.625000	448222.125000	350504.791667	143752.020833	111892.104167
108	55.208333	38.625000	3965.895833	2899.062500	10125.708333	7931.125000	451875.041667	353437.041667	144314.812500	112342.312500
109	53.104167	38.270833	3904.833333	2853.500000	9956.312500	7787.729167	449424.750000	351533.833333	144024.604167	112104.354167
10	55.125000	38.125000	3937.041667	2875.041667	10051.187500	7862.270833	449342.750000	351116.833333	143819.250000	111923.666667
11	54.291667	38.625000	3932.020833	2869.270833	10006.500000	7843.416667	448063.000000	350532.750000	143530.604167	111755.187500
12	53.791667	38.625000	3917.104167	2870.020833	10017.437500	7850.770833	447284.125000	350067.458333	142912.833333	111309.750000
13	54.458333	37.791667	3906.229167	2858.645833	9938.187500	7791.354167	445725.479167	349040.645833	143200.333333	111540.083333
14	54.791667	38.291667	3946.916667	2885.583333	10072.666667	7883.583333	446574.895833	349063.395833	142423.479167	110781.895833
15	54.020833	38.187500	3922.416667	2869.333333	10021.291667	7843.291667	445939.145833	348503.812500	142510.291667	110901.041667
16	54.520833	38.104167	3940.479167	2875.895833	10025.312500	7857.312500	446570.020833	349168.937500	142851.687500	111211.104167
17	54.958333	38.625000	3953.583333	2889.000000	10074.250000	7897.833333	446759.250000	349480.583333	142249.166667	110718.666667
18	54.458333	37.125000	3891.875000	2839.791667	9972.062500	7798.979167	448427.750000	350586.916667	143770.645833	111880.312500
19	53.833333	37.916667	3843.875000	2790.458333	9972.687500	7790.770833	450924.020833	352463.437500	144184.541667	112195.958333
1	54.708333	38.208333	3926.395833	2871.145833	10035.020833	7842.937500	448737.833333	350893.666667	143215.875000	111471.791667
20	54.187500	37.854167	3935.770833	2875.270833	10058.979167	7879.479167	448445.729167	350981.145833	143033.750000	111428.333333
21	55.208333	38.625000	3945.270833	2885.354167	10071.937500	7892.854167	446815.104167	349691.604167	141838.437500	110493.437500
22	54.520833	38.604167	3936.562500	2876.895833	10037.875000	7874.458333	446923.083333	349668.583333	142229.395833	110725.145833
23	53.395833	38.562500	3939.687500	2884.187500	10077.291667	7900.541667	447234.875000	349928.208333	142112.854167	110712.020833
24	54.958333	38.458333	3921.645833	2874.729167	10043.229167	7856.312500	447405.229167	349923.312500	143024.458333	111393.875000
25	54.979167	38.229167	3929.625000	2870.041667	10037.354167	7865.854167	446736.729167	349745.395833	142353.458333	110908.708333
26	54.708333	38.625000	3936.937500	2872.437500	10049.895833	7871.562500	447550.437500	349996.854167	143053.937500	111316.437500
27	54.458333	38.541667	3936.187500	2881.854167	10047.958333	7867.791667	447596.000000	349914.166667	142946.666667	111237.000000
28	54.791667	38.375000	3949.250000	2886.750000	10066.916667	7881.916667	449827.458333	351921.458333	143614.937500	111822.104167
29	55.208333	38.625000	3935.875000	2873.541667	10034.791667	7859.291667	449801.166667	351746.333333	143941.104167	112038.854167
