Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	55.312500	43.145833	3693.479167	2885.479167	9839.666667	7794.000000	437054.479167	350055.145833	139186.375000	111084.208333
101	55.479167	42.729167	3652.875000	2847.958333	9687.208333	7697.458333	434440.708333	348161.458333	138726.395833	110742.145833
102	55.041667	43.041667	3645.770833	2850.270833	9663.312500	7648.229167	433545.916667	347091.500000	138755.062500	110720.645833
103	55.479167	42.729167	3678.458333	2871.625000	9763.791667	7741.791667	434312.354167	347910.604166	138697.416667	110671.833333
104	55.479167	43.145833	3697.583333	2888.666667	9848.833333	7801.583333	437626.020833	350509.020833	139364.666667	111233.916667
105	54.895833	42.062500	3643.770833	2846.020833	9706.000000	7677.000000	433495.562500	347185.562500	138258.854167	110357.937500
106	55.187500	42.937500	3678.145833	2871.895833	9784.166667	7756.416667	433266.125000	347035.375000	137317.395833	109656.145833
107	53.562500	42.479167	3659.250000	2853.250000	9716.000000	7693.166667	434298.437500	347686.354166	138877.541667	110797.125000
108	55.479167	43.145833	3697.041667	2888.208333	9849.666667	7801.583333	437673.979167	350538.979166	139377.958333	111240.458333
109	53.645833	42.812500	3643.187500	2842.604167	9677.270833	7663.687500	435375.291667	348643.875000	139094.958333	111005.458333
10	55.145833	43.145833	3664.895833	2863.395833	9766.500000	7737.333333	435013.958333	348364.791666	138861.395833	110842.062500
11	55.104167	42.437500	3665.229167	2859.729167	9745.458333	7706.875000	433939.291667	347574.791666	138671.770833	110630.604167
12	54.979167	43.062500	3653.354167	2858.270833	9731.958333	7729.541667	433202.333333	347213.166666	138002.395833	110186.562500
13	55.479167	42.312500	3653.250000	2843.416667	9693.041667	7653.958333	432638.375000	345729.291666	138448.625000	110335.875000
14	55.479167	42.729167	3677.250000	2875.166667	9794.250000	7751.416667	432373.416667	346248.166666	137451.229167	109697.145833
15	54.812500	42.729167	3657.583333	2855.750000	9739.937500	7717.187500	431830.312500	345674.729166	137639.208333	109786.458333
16	54.708333	42.791667	3670.520833	2865.687500	9730.458333	7726.708333	431982.625000	346334.541666	137873.583333	110114.250000
17	55.229167	43.145833	3685.062500	2877.729167	9798.979167	7766.062500	432497.958333	346637.791666	137227.166667	109663.416667
18	53.916667	41.583333	3618.479167	2832.645833	9682.458333	7675.875000	434021.937500	347705.604166	138781.812500	110780.229167
19	54.354167	42.687500	3577.958333	2794.541667	9699.833333	7677.416667	436692.479167	349681.895833	139241.937500	111108.854167
1	55.479167	42.729167	3653.395833	2862.895833	9756.229167	7718.395833	434462.000000	348079.583333	138264.583333	110400.250000
20	53.479167	42.145833	3668.750000	2860.750000	9783.500000	7750.500000	434304.812500	348013.729166	138168.854167	110296.687500
21	54.979167	43.145833	3679.291667	2877.375000	9795.666667	7764.583333	432890.937500	346817.187500	136986.583333	109393.333333
22	55.479167	43.062500	3670.291667	2867.875000	9772.895833	7745.479167	432737.229167	346849.479166	137258.833333	109640.083333
