Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	47.750000	39.833333	3543.062500	2906.562500	9308.458333	7890.541667	414158.562500	352772.479166	131813.812500	112216.395833
101	47.708333	39.708333	3504.937500	2866.520833	9191.104167	7787.604167	412204.791667	350797.041666	131497.666667	111839.666667
102	47.437500	39.937500	3499.854167	2869.104167	9149.375000	7744.541667	411034.562500	349723.395833	131422.770833	111832.354167
103	47.875000	39.625000	3528.645833	2893.812500	9240.770833	7834.770833	411592.562500	350606.812500	131325.791667	111800.208333
104	47.875000	40.041667	3546.645833	2910.229167	9317.020833	7898.770833	414720.791667	353230.541666	131993.812500	112361.312500
105	47.000000	39.166667	3495.333333	2865.583333	9179.312500	7772.562500	411041.687500	349829.687500	131040.208333	111454.291667
106	47.583333	39.833333	3527.895833	2894.895833	9253.395833	7854.395833	410721.625000	349714.625000	130134.770833	110758.020833
107	46.250000	38.916667	3507.750000	2874.750000	9197.458333	7780.125000	411604.520833	350338.437500	131526.583333	111916.916667
108	47.875000	40.041667	3546.645833	2909.312500	9317.562500	7899.229167	414766.104167	353257.354166	132004.041667	112366.791667
109	46.791667	39.458333	3492.958333	2864.375000	9157.833333	7762.750000	412513.125000	351423.958333	131729.729167	112142.729167
10	47.875000	39.375000	3510.479167	2887.729167	9227.041667	7829.625000	411874.500000	351116.083333	131457.000000	111952.916667
11	47.208333	39.791667	3515.208333	2881.958333	9215.791667	7809.208333	411226.625000	350291.875000	131292.270833	111768.104167
12	47.708333	39.791667	3507.500000	2880.916667	9221.270833	7817.354167	410740.333333	349827.666666	130773.687500	111291.104167
13	47.770833	39.354167	3502.000000	2868.666667	9148.895833	7766.312500	409206.604167	348844.520833	130939.062500	111562.562500
14	47.875000	39.625000	3529.437500	2895.354167	9243.187500	7852.354167	409191.104167	348934.854166	130010.916667	110807.833333
15	47.000000	39.666667	3504.562500	2877.229167	9210.958333	7817.458333	408848.708333	348399.375000	130208.770833	110940.520833
16	46.979167	39.562500	3518.125000	2885.791667	9217.000000	7822.250000	409560.645833	349025.812500	130629.208333	111234.625000
17	47.625000	40.041667	3533.166667	2900.583333	9272.458333	7864.791667	409864.875000	349260.958333	130098.291667	110718.041667
18	45.833333	38.750000	3480.375000	2851.041667	9172.729167	7766.645833	411421.812500	350385.229166	131466.437500	111898.354167
19	46.708333	39.541667	3439.437500	2813.770833	9178.979167	7775.562500	413826.187500	352405.104166	131864.875000	112241.291667
1	47.729167	39.729167	3515.020833	2882.770833	9232.020833	7821.937500	411968.916667	350793.750000	131053.229167	111508.645833
20	47.375000	38.791667	3517.958333	2883.208333	9261.062500	7846.562500	411808.000000	350758.666666	130903.916667	111442.750000
21	47.875000	40.041667	3530.750000	2897.083333	9270.187500	7859.604167	410373.500000	349499.750000	129840.395833	110487.895833
22	47.645833	39.979167	3514.958333	2886.041667	9239.500000	7842.083333	409778.166667	349473.416666	129899.479167	110736.229167
23	47.125000	39.041667	3513.250000	2894.000000	9267.395833	7865.145833	409799.604167	349736.187500	129660.583333	110719.000000
24	47.875000	39.875000	3512.020833	2884.354167	9230.541667	7825.125000	410115.958333	349722.291666	130705.270833	111423.937500
25	47.875000	39.625000	3510.979167	2883.645833	9242.500000	7837.000000	410361.583333	349514.500000	130269.541667	110912.041667
26	47.875000	40.041667	3516.541667	2878.041667	9255.125000	7839.041667	411076.645833	349668.312500	130919.583333	111300.083333
27	47.458333	39.791667	3519.958333	2889.125000	9240.979167	7835.312500	410568.375000	349743.291666	130673.750000	111261.333333
28	47.687500	39.770833	3532.104167	2898.104167	9259.375000	7852.125000	412897.229167	351730.479166	131391.000000	111840.166667
29	47.875000	40.041667	3519.416667	2882.833333	9230.312500	7826.812500	412784.812500	351581.229166	131657.750000	112071.750000
2	47.000000	39.833333	3528.125000	2891.708333	9248.708333	7838.958333	410463.562500	349556.062500	130019.104167	110666.354167
30	47.645833	39.812500	3520.750000	2885.666667	9227.541667	7821.041667	411118.270833	350283.270833	130921.854167	111496.104167
31	47.708333	39.791667	3512.750000	2882.166667	9250.125000	7846.375000	410429.062500	349610.979166	130444.687500	111088.104167
32	47.645833	39.979167	3529.833333	2894.250000	9272.229167	7861.062500	410722.354167	349798.354166	130149.020833	110763.854167
33	47.875000	40.041667	3525.708333	2895.708333	9260.604167	7848.854167	410367.562500	349625.312500	130592.250000	111266.250000
34	47.375000	39.625000	3523.791667	2889.458333	9242.645833	7835.479167	410466.937500	349597.520833	130349.895833	110973.645833
35	47.875000	40.041667	3539.625000	2905.541667	9285.083333	7870.250000	411418.312500	350481.729166	130037.604167	110757.770833
36	47.875000	39.958333	3546.104167	2908.854167	9313.729167	7895.729167	413226.833333	351945.750000	130900.312500	111406.562500
37	47.250000	40.000000	3505.229167	2889.145833	9231.666667	7822.750000	411854.083333	350968.416666	131282.812500	111799.312500
38	47.458333	39.541667	3530.333333	2894.916667	9264.791667	7857.208333	410327.208333	349655.791666	130711.145833	111321.062500
39	47.687500	39.854167	3518.625000	2884.708333	9257.062500	7853.812500	410167.666667	349516.583333	130504.250000	111214.666667
3	47.875000	40.041667	3528.479167	2893.395833	9253.958333	7848.291667	410376.687500	349423.937500	130391.583333	110959.250000
40	46.250000	39.333333	3527.562500	2889.395833	9253.020833	7844.520833	409841.041667	348892.625000	130346.750000	110869.000000
41	47.875000	39.875000	3503.437500	2876.770833	9199.520833	7807.187500	409443.583333	348704.166666	130346.312500	110922.562500
42	47.875000	40.041667	3522.479167	2886.312500	9234.520833	7827.854167	410014.375000	349220.208333	130129.104167	110791.854167
43	47.625000	40.041667	3523.958333	2889.291667	9257.687500	7851.270833	411157.958333	350385.208333	130927.020833	111520.520833
44	47.875000	40.041667	3544.229167	2908.395833	9312.125000	7896.458333	414652.270833	353176.020833	131971.895833	112345.729167
45	47.875000	40.041667	3510.083333	2882.500000	9239.166667	7831.916667	411283.958333	350570.208333	130844.104167	111490.770833
46	46.729167	39.395833	3502.312500	2875.645833	9222.375000	7817.958333	409688.895833	348876.812500	130031.625000	110682.291667
47	46.937500	39.270833	3511.958333	2887.291667	9240.000000	7837.166667	409633.916667	349015.333333	130470.062500	111064.479167
48	47.541667	39.375000	3505.166667	2875.750000	9205.166667	7790.750000	409504.645833	348485.062500	130912.500000	111335.000000
49	46.916667	39.583333	3519.708333	2881.541667	9227.145833	7824.562500	409914.395833	348917.812500	130766.291667	111275.625000
4	46.791667	39.125000	3505.875000	2877.041667	9225.687500	7806.937500	411088.166667	349714.500000	131081.312500	111476.895833
50	47.000000	39.333333	3527.354167	2894.270833	9267.979167	7849.562500	410899.583333	349814.000000	130313.583333	110853.250000
51	47.875000	40.041667	3517.333333	2888.000000	9233.270833	7825.437500	412100.541667	351007.625000	131236.708333	111747.208333
52	47.875000	40.041667	3547.729167	2910.229167	9318.104167	7899.687500	414779.291667	353274.375000	132003.395833	112365.979167
53	47.666667	39.833333	3511.104167	2881.020833	9249.125000	7832.125000	411922.937500	350738.104166	130967.395833	111480.062500
54	47.229167	39.145833	3520.270833	2886.520833	9227.791667	7820.291667	409845.937500	349178.937500	130213.333333	110875.583333
55	47.875000	40.041667	3526.729167	2898.062500	9265.812500	7855.979167	410063.583333	349351.833333	129976.729167	110659.062500
56	46.500000	39.333333	3521.229167	2888.645833	9251.895833	7842.312500	409623.625000	348786.208333	129808.416667	110396.083333
