Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	39.229167	43.312500	3513.520833	2962.770833	9431.645833	8078.979167	417289.854167	362980.270833	132866.062500	115416.395833
101	38.812500	43.562500	3465.354167	2926.187500	9298.145833	7974.145833	414826.812500	361078.312500	132406.104167	115064.354167
102	39.270833	43.520833	3468.000000	2927.500000	9243.062500	7947.229167	413789.375000	360001.708333	132443.687500	115024.770833
103	39.270833	43.520833	3499.000000	2949.166667	9376.666667	8018.916667	414977.958333	360657.958333	132415.270833	114969.187500
104	39.270833	43.937500	3517.875000	2966.208333	9439.562500	8086.812500	417840.437500	363445.937500	133037.479167	115553.229167
105	38.375000	43.291667	3468.354167	2921.854167	9295.770833	7967.270833	414047.187500	360111.937500	132037.729167	114682.562500
106	38.979167	43.729167	3497.458333	2947.208333	9374.354167	8033.854167	413507.270833	359850.770833	131009.229167	113922.979167
107	37.479167	42.645833	3479.895833	2930.395833	9322.000000	7968.416667	414715.270833	360541.187500	132541.250000	115128.583333
108	39.270833	43.937500	3517.041667	2965.458333	9439.520833	8086.937500	417868.083333	363470.833333	133045.458333	115560.208333
109	37.791667	42.958333	3455.354167	2917.020833	9255.708333	7947.625000	415284.770833	361513.604166	132737.125000	115321.375000
10	39.104167	43.604167	3484.083333	2941.583333	9360.062500	8020.895833	415070.979167	361188.312500	132519.375000	115141.041667
11	38.604167	43.687500	3486.041667	2937.041667	9322.583333	8003.000000	414371.583333	360466.083333	132344.166667	114946.750000
12	39.270833	43.604167	3478.562500	2932.229167	9347.708333	7998.041667	414283.083333	359692.916666	131993.166667	114386.083333
13	38.770833	43.604167	3472.541667	2927.208333	9266.583333	7944.250000	412382.895833	358868.812500	131985.583333	114714.333333
14	38.645833	43.645833	3499.479167	2950.395833	9375.770833	8037.687500	412212.000000	359058.750000	131018.020833	113974.437500
15	39.270833	43.437500	3477.354167	2934.270833	9332.312500	8000.812500	412422.645833	358404.062500	131443.729167	114060.229167
16	38.979167	43.312500	3490.062500	2944.729167	9346.125000	8006.125000	412854.833333	359063.250000	131740.729167	114370.395833
17	39.020833	43.937500	3506.854167	2955.520833	9392.958333	8053.041667	413145.937500	359456.520833	131073.937500	113931.687500
18	38.104167	42.520833	3460.708333	2903.625000	9299.583333	7955.500000	414792.041667	360554.208333	132543.354167	115087.270833
19	39.270833	43.104167	3394.020833	2871.104167	9293.000000	7965.333333	416913.250000	362646.166666	132918.645833	115433.562500
1	39.270833	43.520833	3486.125000	2934.875000	9351.020833	8005.437500	414840.854167	360953.437500	131991.604167	114706.520833
20	38.833333	42.750000	3485.041667	2944.041667	9389.958333	8031.708333	414998.937500	360926.604166	131967.604167	114614.687500
21	39.270833	43.937500	3497.791667	2953.375000	9384.208333	8047.625000	412892.041667	359596.041666	130547.187500	113635.937500
22	39.270833	43.854167	3495.416667	2941.250000	9371.875000	8020.208333	413963.083333	359320.333333	131333.937500	113800.187500
23	38.937500	43.354167	3498.812500	2947.562500	9400.958333	8055.458333	414044.187500	359762.270833	131247.437500	113769.354167
24	38.770833	43.770833	3486.770833	2942.604167	9354.000000	8014.583333	414100.166667	359739.250000	131990.979167	114543.395833
25	39.270833	43.520833	3482.875000	2937.541667	9362.166667	8020.916667	413162.854167	359665.020833	131252.583333	114081.083333
26	37.770833	43.937500	3489.833333	2937.083333	9378.750000	8027.166667	414017.958333	359984.875000	131955.833333	114528.083333
27	39.270833	43.604167	3492.229167	2946.645833	9370.854167	8022.437500	413817.729167	359881.895833	131792.375000	114420.958333
28	38.812500	43.645833	3502.291667	2950.541667	9378.875000	8038.625000	415856.583333	361872.583333	132328.916667	115025.333333
29	39.270833	43.937500	3491.791667	2941.708333	9356.833333	8018.583333	416019.854167	361745.270833	132706.250000	115245.750000
2	38.229167	43.812500	3493.854167	2949.187500	9370.333333	8022.083333	413502.416667	359622.916666	131033.729167	113779.979167
30	37.958333	43.875000	3490.083333	2940.750000	9347.812500	8006.562500	414268.937500	360253.687500	131991.791667	114619.541667
31	39.104167	43.687500	3485.666667	2937.083333	9382.812500	8027.062500	414321.020833	359456.437500	131802.520833	114162.187500
32	39.270833	43.854167	3501.166667	2949.833333	9392.645833	8048.729167	414252.541667	359738.041666	131401.812500	113811.895833
33	39.270833	43.937500	3502.708333	2948.958333	9384.604167	8033.854167	414177.229167	359348.479166	131894.791667	114284.041667
34	38.604167	43.604167	3491.312500	2945.729167	9377.604167	8007.937500	414214.916667	359186.500000	131580.187500	113959.687500
35	39.270833	43.937500	3512.125000	2960.041667	9411.958333	8055.125000	415183.229167	360308.645833	131518.083333	113716.250000
36	38.354167	43.937500	3517.791667	2964.541667	9436.666667	8083.416667	416334.708333	362077.875000	131978.583333	114544.083333
37	39.270833	43.770833	3487.625000	2936.791667	9355.500000	8006.083333	415147.333333	360919.166666	132402.666667	114915.166667
38	39.270833	43.354167	3498.937500	2949.020833	9389.937500	8039.604167	414366.187500	359466.520833	132049.000000	114402.916667
39	38.895833	43.812500	3491.270833	2940.854167	9394.854167	8039.354167	413947.645833	359568.812500	131770.270833	114334.437500
3	39.270833	43.937500	3490.083333	2950.750000	9360.229167	8035.062500	412956.833333	359544.583333	131274.687500	114136.604167
40	38.562500	43.145833	3493.458333	2943.041667	9377.416667	8028.666667	412968.479167	359024.062500	131412.208333	114026.708333
41	39.270833	43.770833	3470.229167	2933.062500	9309.666667	7999.833333	411753.791667	358858.375000	131075.166667	114119.166667
42	39.270833	43.937500	3490.270833	2944.354167	9358.041667	8014.875000	412871.125000	359363.708333	131045.208333	113956.208333
43	39.270833	43.937500	3496.270833	2945.604167	9392.479167	8033.812500	414825.958333	360365.708333	132121.854167	114660.354167
44	39.270833	43.937500	3517.041667	2964.958333	9435.395833	8085.229167	417773.020833	363393.270833	133018.729167	115535.562500
45	39.270833	43.937500	3475.375000	2942.791667	9356.666667	8020.166667	414376.750000	360802.250000	131934.250000	114673.166667
46	38.979167	43.145833	3471.395833	2931.229167	9351.770833	7998.104167	413023.750000	358996.666666	131199.916667	113843.583333
47	38.604167	43.187500	3490.833333	2935.666667	9373.375000	8021.291667	412989.750000	359170.166666	131532.562500	114265.729167
48	38.812500	43.645833	3478.437500	2930.770833	9327.250000	7978.583333	412779.000000	358673.166666	131967.937500	114511.437500
49	38.666667	43.333333	3486.375000	2941.708333	9364.458333	8004.875000	413616.020833	358873.937500	131962.333333	114411.416667
4	38.604167	42.937500	3475.562500	2927.229167	9341.041667	7996.541667	413445.229167	360025.312500	131891.583333	114707.166667
50	38.375000	43.458333	3503.208333	2949.625000	9392.666667	8032.500000	414292.270833	359890.187500	131481.500000	113979.166667
51	39.270833	43.937500	3492.104167	2942.020833	9358.000000	8007.416667	415322.416667	361113.500000	132305.145833	114910.145833
52	39.270833	43.937500	3518.125000	2966.375000	9440.062500	8087.395833	417885.354167	363486.187500	133044.000000	115559.333333
