Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	18.354167	31.604167	1860.750000	2486.833333	3955.333333	5183.416667	169141.854167	226580.854167	55351.666667	74392.166667
101	18.354167	31.604167	1828.250000	2442.916667	3879.541667	5088.708333	167900.375000	224697.625000	55049.145833	73923.229167
102	18.354167	31.270833	1831.583333	2443.250000	3890.104167	5071.437500	167655.520833	224308.687500	55155.500000	74078.833333
103	18.020833	31.020833	1851.104167	2469.354167	3922.687500	5133.604167	167872.833333	224507.083333	55035.562500	73919.729167
104	18.354167	31.604167	1863.479167	2489.145833	3960.729167	5187.395833	169460.812500	226894.145833	55428.791667	74483.125000
105	18.354167	31.187500	1841.437500	2458.770833	3889.062500	5115.812500	167596.312500	224903.812500	54962.729167	73934.729167
106	18.104167	31.354167	1852.104167	2474.604167	3938.729167	5160.895833	167836.520833	224546.937500	54730.458333	73430.458333
107	18.166667	31.083333	1835.229167	2455.395833	3893.229167	5103.229167	167852.791667	224764.708333	55195.833333	74165.583333
108	18.354167	31.604167	1863.145833	2489.229167	3961.041667	5190.458333	169474.708333	226964.125000	55434.958333	74503.541667
109	17.770833	31.354167	1834.375000	2438.125000	3886.937500	5080.937500	168440.270833	225698.937500	55303.645833	74332.645833
10	18.354167	31.604167	1860.020833	2482.687500	3949.708333	5175.375000	169126.812500	226592.979167	55377.729167	74438.229167
11	17.520833	31.604167	1837.979167	2463.645833	3910.270833	5122.520833	167844.583333	224938.166667	55082.645833	74063.145833
12	18.354167	31.354167	1831.812500	2463.979167	3911.145833	5141.729167	167568.145833	224742.145833	54841.958333	73766.625000
13	17.979167	31.229167	1832.937500	2454.020833	3895.229167	5114.145833	167271.166667	224282.333333	55019.020833	74064.187500
14	18.354167	31.604167	1857.166667	2478.583333	3942.062500	5166.812500	167386.958333	224430.458333	54667.020833	73519.937500
15	18.187500	31.354167	1839.791667	2467.708333	3909.395833	5142.729167	167001.875000	224188.375000	54643.083333	73632.166667
16	18.062500	31.229167	1850.812500	2467.979167	3921.520833	5142.937500	167421.291667	224443.125000	54887.395833	73838.562500
17	18.354167	31.604167	1858.375000	2478.041667	3949.145833	5167.562500	167520.458333	224346.208333	54577.854167	73390.604167
18	17.645833	30.229167	1835.812500	2444.145833	3900.875000	5093.875000	168026.958333	224964.791667	55192.437500	74146.687500
19	18.354167	30.104167	1766.333333	2368.916667	3858.354167	5059.187500	168752.125000	225945.291667	55348.875000	74385.125000
1	18.354167	31.604167	1861.333333	2485.666667	3955.166667	5180.666667	169158.062500	226602.812500	55328.458333	74381.208333
20	18.104167	31.187500	1847.375000	2464.291667	3930.625000	5150.791667	167999.229167	224890.562500	54850.520833	73726.270833
21	18.354167	31.187500	1858.833333	2483.000000	3946.979167	5167.562500	167669.854167	224544.770833	54544.604167	73292.354167
