Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	26.229167	24.479167	2593.750000	1933.833333	5319.479167	3985.562500	237553.625000	176572.125000	78423.562500	58236.812500
101	26.229167	24.479167	2551.000000	1899.666667	5217.437500	3924.604167	235657.354167	175303.854167	77939.645833	57916.479167
102	26.229167	24.145833	2548.270833	1902.687500	5226.770833	3902.104167	235384.312500	174806.229167	78132.645833	57975.229167
103	25.666667	23.916667	2577.083333	1920.833333	5276.979167	3946.145833	235647.250000	174999.500000	77971.875000	57881.291667
104	26.229167	24.479167	2594.916667	1936.333333	5327.312500	3989.729167	237900.666667	176863.000000	78507.500000	58320.833333
105	25.604167	24.187500	2560.770833	1910.854167	5223.416667	3935.916667	235322.791667	175213.791667	77831.958333	57874.458333
106	25.979167	24.229167	2579.333333	1925.583333	5295.229167	3970.145833	235488.083333	175213.250000	77466.291667	57556.291667
107	26.041667	23.958333	2562.187500	1907.604167	5254.666667	3917.666667	235892.562500	175079.979167	78204.562500	58054.062500
108	26.229167	24.479167	2594.770833	1936.104167	5328.750000	3991.166667	237943.375000	176898.291667	78521.083333	58332.166667
109	26.041667	24.125000	2542.958333	1906.458333	5222.791667	3915.541667	236644.583333	175950.500000	78348.229167	58196.729167
10	26.229167	24.479167	2589.854167	1931.520833	5315.666667	3981.083333	237569.333333	176657.750000	78449.666667	58293.666667
11	26.229167	24.312500	2563.354167	1914.270833	5247.479167	3944.729167	235646.000000	175328.333333	78025.062500	57997.312500
12	26.041667	24.291667	2560.604167	1913.270833	5267.458333	3948.041667	235164.479167	175089.979167	77591.354167	57767.020833
13	25.479167	24.229167	2551.104167	1911.187500	5253.645833	3927.062500	235201.583333	174601.750000	78076.208333	57914.125000
14	26.229167	24.479167	2583.687500	1927.354167	5298.312500	3973.062500	235057.687500	174827.687500	77447.083333	57551.750000
15	25.895833	24.312500	2564.333333	1918.500000	5263.666667	3953.000000	234823.895833	174649.645833	77579.187500	57600.770833
16	26.083333	24.000000	2574.604167	1920.270833	5275.958333	3956.625000	235051.854167	174917.937500	77735.354167	57792.270833
17	26.229167	24.479167	2586.416667	1928.083333	5302.458333	3976.125000	235066.458333	174884.458333	77358.416667	57431.416667
18	25.395833	23.229167	2554.583333	1899.166667	5238.000000	3916.250000	235915.229167	175274.812500	78181.229167	58042.479167
19	25.708333	23.458333	2468.958333	1846.791667	5193.958333	3893.041667	236992.875000	176117.041667	78420.041667	58236.291667
1	26.229167	24.479167	2592.979167	1933.812500	5319.625000	3984.625000	237551.687500	176628.687500	78395.250000	58231.750000
20	25.104167	24.437500	2568.395833	1918.312500	5287.166667	3960.083333	235814.750000	175389.333333	77726.541667	57726.541667
21	26.083333	24.166667	2586.312500	1930.479167	5302.895833	3976.229167	235575.416667	175009.833333	77330.520833	57366.770833
22	26.229167	24.479167	2568.416667	1920.166667	5286.666667	3962.000000	234925.500000	174944.750000	77166.000000	57430.833333
23	26.229167	24.479167	2582.020833	1927.854167	5304.104167	3974.604167	234939.750000	174789.583333	76975.479167	57242.395833
24	26.229167	24.312500	2561.437500	1913.937500	5279.250000	3955.416667	235131.145833	174998.645833	77676.687500	57767.354167
25	25.666667	24.000000	2563.208333	1916.791667	5275.500000	3959.333333	234803.937500	174973.187500	77317.958333	57576.875000
26	26.229167	24.479167	2579.395833	1926.229167	5293.104167	3959.520833	235449.520833	174880.687500	77748.125000	57679.041667
27	25.979167	23.812500	2572.291667	1925.208333	5267.229167	3960.145833	235017.687500	175041.104167	77639.479167	57761.645833
28	25.479167	24.479167	2581.562500	1927.645833	5293.645833	3967.062500	236779.312500	176151.229167	78079.770833	58031.270833
29	26.229167	24.312500	2573.166667	1918.416667	5273.604167	3942.937500	236382.375000	175656.875000	78264.250000	58083.166667
2	26.229167	24.479167	2594.166667	1934.750000	5320.166667	3981.500000	237428.958333	176425.958333	78281.604167	58100.604167
30	26.104167	23.687500	2568.041667	1920.375000	5251.916667	3950.166667	235105.687500	175090.187500	77731.958333	57841.875000
31	26.229167	24.479167	2570.958333	1911.541667	5294.229167	3958.312500	234964.458333	174485.958333	77380.729167	57410.979167
32	26.229167	24.479167	2582.729167	1922.895833	5298.604167	3962.770833	234949.875000	174682.208333	77122.354167	57259.437500
33	26.229167	24.145833	2574.500000	1922.916667	5285.625000	3955.541667	234963.208333	174666.458333	77607.312500	57639.645833
34	25.562500	23.979167	2569.312500	1921.312500	5284.125000	3958.875000	234891.833333	174968.416667	77285.770833	57517.687500
35	26.229167	24.479167	2572.000000	1932.666667	5291.687500	3978.854167	234472.875000	175025.125000	76396.833333	57160.250000
36	26.229167	24.479167	2595.645833	1936.812500	5327.666667	3991.666667	236580.020833	175881.937500	77544.083333	57607.416667
37	26.229167	24.479167	2562.750000	1914.583333	5272.354167	3947.437500	235825.541667	175292.875000	77940.791667	57903.375000
38	25.666667	24.416667	2581.312500	1925.895833	5300.687500	3966.854167	235502.437500	174807.270833	77837.791667	57704.875000
39	26.229167	24.479167	2575.145833	1923.562500	5292.791667	3959.708333	235259.250000	174798.500000	77679.291667	57609.125000
3	26.229167	24.479167	2593.770833	1932.187500	5322.000000	3984.416667	237461.312500	176438.562500	78316.041667	58140.541667
40	26.229167	24.145833	2583.854167	1928.437500	5302.583333	3966.416667	235689.895833	174575.812500	77733.625000	57527.875000
41	26.229167	24.062500	2574.645833	1918.312500	5267.145833	3945.895833	234911.020833	174590.687500	77492.125000	57642.125000
42	26.041667	24.291667	2574.604167	1922.937500	5278.041667	3960.791667	234939.229167	174912.062500	77231.333333	57533.666667
43	25.812500	24.229167	2568.125000	1920.541667	5276.770833	3959.354167	235551.229167	175263.812500	77837.020833	57841.437500
44	26.229167	24.479167	2594.375000	1936.458333	5326.208333	3988.291667	237892.229167	176856.229167	78498.666667	58321.083333
45	25.562500	24.062500	2575.687500	1920.354167	5281.854167	3952.770833	235452.083333	175167.666667	77628.812500	57658.062500
46	26.229167	24.145833	2570.729167	1916.479167	5284.104167	3954.937500	235232.187500	174653.270833	77396.916667	57398.666667
47	26.083333	24.166667	2580.166667	1921.333333	5294.208333	3960.958333	235422.354167	174554.854167	77767.395833	57618.812500
48	25.187500	23.354167	2572.895833	1915.729167	5264.020833	3947.604167	234939.041667	174717.708333	77885.479167	57856.145833
49	26.229167	23.979167	2563.312500	1919.229167	5269.020833	3946.020833	234949.166667	174667.166667	77690.187500	57751.187500
4	25.729167	23.979167	2589.604167	1932.020833	5312.229167	3977.979167	237329.750000	176327.000000	78361.812500	58182.562500
50	25.895833	24.062500	2585.812500	1927.312500	5299.500000	3967.833333	235469.291667	174781.208333	77362.020833	57330.020833
51	26.083333	24.166667	2579.125000	1917.458333	5280.354167	3946.520833	236053.354167	175351.937500	77934.333333	57871.166667
52	26.229167	24.479167	2595.895833	1937.062500	5329.520833	3992.187500	237963.520833	176917.937500	78522.333333	58333.166667
53	26.229167	24.479167	2575.000000	1921.833333	5282.312500	3955.479167	236117.500000	175480.333333	77822.416667	57795.833333
54	25.812500	24.229167	2580.604167	1921.437500	5297.104167	3955.937500	235429.458333	174740.041667	77616.125000	57518.208333
55	25.395833	24.479167	2581.729167	1926.645833	5303.687500	3972.270833	235532.354167	175031.520833	77455.333333	57454.333333
56	25.604167	24.437500	2579.416667	1920.500000	5293.645833	3969.979167	234934.854167	174909.187500	77218.250000	57404.750000
57	25.854167	23.937500	2580.708333	1921.625000	5293.729167	3958.979167	235290.645833	174910.729167	77385.041667	57542.791667
58	26.041667	24.291667	2584.229167	1928.895833	5305.062500	3974.562500	235234.187500	174997.020833	76907.062500	57225.895833
59	26.229167	24.312500	2569.583333	1910.333333	5284.000000	3948.083333	236870.187500	175952.854167	78250.854167	58093.687500
5	26.229167	24.479167	2593.229167	1935.062500	5323.791667	3986.958333	237348.291667	176380.708333	78310.583333	58136.250000
60	26.041667	24.041667	2555.770833	1909.437500	5229.604167	3937.104167	236163.750000	175678.666667	78161.895833	58074.645833
61	25.250000	23.833333	2539.666667	1890.000000	5220.062500	3908.729167	235260.166667	174746.583333	77786.250000	57766.583333
62	25.583333	24.083333	2571.770833	1915.270833	5248.854167	3929.270833	234956.854167	174575.770833	77735.333333	57761.500000
63	25.895833	23.979167	2570.125000	1924.125000	5289.187500	3958.604167	235250.791667	174709.125000	77351.062500	57438.645833
64	26.229167	24.479167	2578.083333	1922.750000	5278.520833	3949.354167	235527.333333	174782.750000	77735.312500	57646.729167
65	25.812500	24.479167	2573.583333	1916.666667	5267.645833	3936.812500	236047.729167	175211.229167	78211.145833	58066.312500
66	26.229167	24.479167	2590.145833	1931.562500	5313.604167	3979.104167	237506.416667	176499.166667	78452.916667	58260.916667
67	26.229167	24.479167	2572.895833	1916.062500	5285.145833	3953.395833	235940.104167	175008.187500	77702.208333	57485.625000
68	26.229167	24.479167	2576.416667	1913.750000	5292.812500	3957.062500	235560.229167	174882.395833	77502.020833	57552.604167
69	25.812500	24.479167	2583.770833	1930.687500	5300.541667	3970.375000	235332.479167	174987.312500	77435.875000	57504.125000
6	26.229167	24.479167	2585.458333	1928.958333	5314.520833	3974.937500	237291.270833	176378.520833	78393.625000	58232.958333
70	26.229167	24.479167	2574.458333	1922.125000	5295.250000	3963.500000	234625.291667	174887.458333	76689.979167	57251.479167
71	25.437500	24.187500	2574.937500	1922.854167	5278.854167	3955.354167	234468.104167	174980.520833	77331.625000	57715.541667
72	26.229167	24.479167	2580.250000	1930.666667	5302.416667	3978.916667	236679.583333	176234.916667	78139.416667	58137.333333
73	25.854167	24.354167	2577.145833	1924.812500	5283.812500	3963.479167	235316.812500	175137.479167	77589.729167	57728.229167
74	26.229167	24.479167	2574.687500	1921.687500	5289.479167	3967.229167	235321.395833	174853.229167	77439.166667	57499.750000
75	25.604167	24.437500	2566.520833	1920.187500	5289.812500	3966.312500	235063.208333	174745.791667	77530.520833	57605.770833
76	26.020833	24.187500	2568.145833	1920.312500	5267.687500	3949.270833	235070.895833	174696.145833	77966.937500	57883.854167
77	26.229167	24.479167	2573.229167	1920.395833	5268.729167	3956.812500	235544.416667	175310.500000	77863.229167	57861.229167
78	26.229167	24.479167	2578.312500	1926.645833	5307.583333	3975.333333	237558.520833	176622.437500	78472.833333	58294.833333
79	26.125000	24.041667	2581.645833	1924.895833	5290.125000	3959.708333	235626.583333	175045.500000	77599.562500	57574.979167
7	26.229167	24.479167	2584.875000	1931.958333	5310.354167	3974.520833	237300.729167	176359.395833	78336.625000	58165.958333
80	26.229167	24.479167	2564.687500	1916.687500	5279.062500	3959.145833	235091.520833	175068.187500	77544.312500	57695.395833
81	26.229167	24.479167	2571.395833	1920.479167	5289.208333	3966.708333	234977.687500	175043.937500	77048.937500	57388.854167
82	26.229167	24.479167	2581.854167	1927.687500	5306.479167	3968.729167	235795.229167	174988.562500	77440.895833	57336.062500
83	25.895833	24.479167	2585.958333	1929.541667	5303.250000	3976.666667	236466.041667	176011.291667	77870.250000	57971.250000
84	26.229167	24.312500	2542.395833	1898.562500	5245.833333	3930.166667	235664.145833	175450.395833	77939.333333	57981.500000
85	25.812500	24.062500	2571.333333	1919.333333	5283.333333	3961.833333	235083.916667	174826.000000	77703.375000	57648.208333
86	26.229167	24.479167	2584.541667	1930.625000	5298.000000	3965.333333	235018.458333	174729.208333	77493.958333	57553.375000
87	26.229167	24.479167	2560.375000	1917.958333	5255.895833	3943.645833	235120.812500	175030.729167	77783.166667	57818.833333
88	26.229167	24.479167	2592.312500	1934.729167	5323.395833	3988.312500	237337.833333	176464.333333	78362.083333	58196.333333
