Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	49.687500	41.520833	3869.395833	2873.145833	10009.604167	7862.687500	444655.354167	351190.520833	141773.333333	111695.416667
101	49.812500	41.312500	3829.854167	2833.687500	9885.166667	7762.916667	442444.270833	349269.520833	141403.916667	111324.916667
102	49.666667	41.416667	3819.916667	2835.166667	9814.875000	7727.291667	440967.083333	348200.166667	141355.250000	111312.333333
103	49.520833	41.520833	3852.500000	2858.916667	9941.833333	7808.083333	441943.354167	349036.854167	141246.916667	111270.333333
104	49.812500	41.729167	3873.625000	2876.458333	10019.625000	7869.875000	445272.625000	351604.125000	141964.145833	111826.145833
105	49.270833	40.687500	3813.541667	2835.791667	9860.437500	7750.437500	441222.125000	348375.875000	140908.354167	110985.187500
106	49.520833	41.520833	3847.229167	2860.979167	9950.687500	7820.687500	440660.562500	348107.062500	139797.958333	110251.708333
107	48.625000	40.291667	3826.458333	2842.458333	9876.500000	7753.916667	441819.916667	348751.083333	141459.270833	111382.354167
108	49.812500	41.729167	3873.937500	2875.854167	10020.083333	7871.250000	445344.895833	351660.645833	141985.541667	111838.541667
109	47.833333	41.500000	3815.812500	2832.729167	9861.895833	7731.812500	443011.333333	349810.916667	141685.395833	111611.895833
10	49.645833	41.395833	3842.354167	2854.354167	9943.916667	7806.000000	442562.812500	349504.145833	141487.270833	111424.187500
11	49.333333	41.166667	3837.770833	2850.270833	9914.562500	7786.729167	441791.041667	348749.791667	141263.312500	111245.395833
12	48.895833	41.479167	3826.145833	2846.312500	9909.729167	7794.312500	440853.458333	348303.541667	140578.958333	110804.875000
13	49.312500	40.895833	3815.937500	2833.854167	9840.687500	7730.104167	439341.583333	347217.250000	140867.291667	111017.041667
14	49.125000	41.375000	3857.083333	2864.000000	9957.666667	7825.083333	440055.937500	347309.437500	140087.812500	110243.729167
