"","Abbpop","mean_Hom_Ancestral","mean_Heterozygous","mean_Hom_Derived"
"1","BB",260.5,78.5,43
"2","BU",306,39,37
"3","CA",270,77,35
"4","CE",256,103,23
"5","CW",306,47,29
"6","DL",255,78.5,48.5
"7","DN",314,45,23
"8","FC",337,30,15
"9","FU",288,70,24
"10","GC",272,73,37
"11","LI",345,23,14
"12","MI",309,50,23
"13","MM",281,70,31
"14","NF",270.5,56,55.5
"15","PZ",318,43,21
"16","SH",265,76,41
"17","VG",265,73,44
"18","VR",294,52,36
"19","VT",285.5,60,36.5
"20","WB",335,36,11
"21","WE",318,40,24
"22","WS",267.5,70.5,44
