"","Sample","Hom_Ancestral","Heterozygous","Hom_Derived"
"1","BU04",309,39,34
"2","BU1031",303,39,40
"3","CW2212",309,39,34
"4","CW2214",303,55,24
"5","DN26",314,45,23
"6","FC11",337,30,15
"7","LI04",345,23,14
"8","MI21",309,50,23
"9","PZ29",318,43,21
"10","VR14",294,52,36
"11","WB13",329,41,12
"12","WB20",341,31,10
"13","WE2430",316,40,26
"14","WE2431",320,40,22
"15","BB10",261,85,36
"16","BB13",260,72,50
"17","CA14",270,77,35
"18","CE29",256,103,23
"19","DL23523",256,79,47
"20","DL2524",254,78,50
"21","FU14",288,70,24
"22","GC30",272,73,37
"23","MM27",281,70,31
"24","NF24",275,56,51
"25","NF30",266,56,60
"26","SH2514",261,86,35
"27","SH2515",269,66,47
"28","VG21",265,73,44
"29","VT27",290,60,32
"30","VT29",281,60,41
"31","WS04",268,76,38
"32","WS05",267,65,50
